station,dir,abs_pm,lanes,lat,lon,name
777204,N,.17,4,33.766621,-118.210746,E. of Route 43 Exit
777212,N,.364,3,33.767621,-118.207815,E. Of Route 43 Exit
777223,N,.56,3,33.770274,-118.20707,Pier S Ln
777233,N,1.278,3,33.780572,-118.20738,N. Of Alpine Way
777243,N,1.76,3,33.787577,-118.207552,On Pico Ave
772689,N,1.84,4,33.788736,-118.207663,E/B ANAHEIM - N/B710
772980,N,1.84,4,33.788736,-118.207663,W/B ANAHEIM- N/B 710
777253,N,2.07,3,33.792058,-118.207497,Pier D St.
777262,N,2.14,3,33.793053,-118.207266,S. Of Anaheim Exit
774411,N,3.05,3,33.806183,-118.207214,WILLOW STREET
774444,N,4.29,3,33.82419,-118.20687,SO OF 405
717962,N,6.04,4,33.849095,-118.205202,DEL AMO 2
717966,N,7.17,5,33.864017,-118.19821,LONG BEACH
774373,N,7.54,6,33.868842,-118.1953,NORTH OF LONG BEACH
717968,N,8.33,3,33.879953,-118.191917,ATLANTIC
761734,N,9.14,5,33.891258,-118.18823,ALONDRA
718488,N,9.42,6,33.89529,-118.187593,COMPTON
717770,N,9.94,4,33.902585,-118.185914,ROSECRANS 1
718102,N,10.14,4,33.905011,-118.184089,ROSECRANS 2
718492,N,10.34,4,33.907361,-118.181983,S OF 105
717977,N,10.94,4,33.915802,-118.179338,KING 1
717660,N,11.14,4,33.918675,-118.178732,FM RT 105
768984,N,11.54,5,33.924434,-118.177677,KING 2
718151,N,11.907,4,33.929626,-118.178731,IMPERIAL 1
717983,N,12.057,4,33.931754,-118.178439,IMPERIAL 2
774359,N,12.707,4,33.939137,-118.171805,NORTH OF MILLER WAY
717992,N,13.427,4,33.949445,-118.170327,FIRESTONE 1
717995,N,13.517,4,33.950741,-118.170417,FIRESTONE 2
776266,N,14.507,4,33.964927,-118.168788,FLORENCE 1
718147,N,14.767,4,33.968571,-118.167682,FLORENCE 2
776290,N,16.687,4,33.994181,-118.17643,ATLANTIC 1
718320,N,17.147,5,34.000423,-118.174959,ATLANTIC 2
776493,N,17.547,5,34.005883,-118.172597,WASHINGTON
776203,N,17.607,4,34.006745,-118.172418,SLAUSON
763468,N,18.167,3,34.014914,-118.172242,S OF 5
718014,N,18.507,4,34.019763,-118.173271,OLYMPIC
768978,N,18.714,5,34.022735,-118.172717,EASTERN
776221,N,19.007,5,34.026922,-118.172165,N/O WHITTIER
776228,N,19.307,3,34.031074,-118.170833,N/B 710-FM 60
718016,N,19.437,3,34.032849,-118.170134,THIRD
776242,N,20.307,4,34.04534,-118.169425,FLORAL DR
776196,N,20.907,3,34.052413,-118.164153,S/O RAMONA
776188,N,21.407,2,34.059988,-118.165192,N/O RAMONA
777203,S,.17,4,33.767072,-118.21011,E. of Route 43 Exit
777213,S,.364,3,33.76833,-118.207637,E. Of Route 43 Exit
777224,S,.56,3,33.770893,-118.207158,Pier S Ln
777232,S,1.278,3,33.780573,-118.207865,N. Of Alpine Way
777245,S,1.76,3,33.787581,-118.207796,On Pico Ave
772701,S,1.84,5,33.788737,-118.207896,E/B ANAHEIM - S/B710
772711,S,1.84,4,33.788737,-118.207896,W/B ANAHEIM - S/B710
777254,S,2.07,3,33.792054,-118.207728,Pier D St.
777263,S,2.14,3,33.79305,-118.207495,S. Of Anaheim Exit
774389,S,3.05,3,33.806185,-118.207378,WILLOW STREET
774445,S,4.29,3,33.824173,-118.207084,SO OF 405
717960,S,5.99,4,33.848404,-118.20545,DEL AMO 1
717963,S,6.93,4,33.861086,-118.200442,LONG BEACH
774372,S,7.54,5,33.868933,-118.195568,NORTH OF LONG BEACH
716847,S,8.15,4,33.877433,-118.192776,N OF 91
717970,S,8.87,5,33.887504,-118.18958,ALONDRA
761851,S,9.42,6,33.8953,-118.187843,COMPTON
717975,S,9.77,6,33.900287,-118.18707,ROSECRANS 1
717972,S,10.05,6,33.903982,-118.185282,ROSECRANS 2
761761,S,10.29,4,33.906773,-118.182716,FM RTE 105
718493,S,10.34,4,33.907395,-118.182244,S OF 105
717978,S,10.94,4,33.915832,-118.179574,KING 1
716857,S,11.54,5,33.924409,-118.177989,KING 2
717980,S,11.927,4,33.92992,-118.178962,IMPERIAL 1
761776,S,11.987,4,33.93079,-118.178918,IMPERIAL 2
774358,S,12.707,4,33.9392,-118.171985,NORTH OF MILLER WAY
717986,S,13.427,4,33.949462,-118.170596,FIRESTONE 1
717989,S,13.517,4,33.950759,-118.170667,FIRESTONE 2
776295,S,14.507,4,33.964963,-118.169033,FLORENCE 1
718002,S,14.597,4,33.966186,-118.168485,FLORENCE 2
776289,S,16.687,4,33.994201,-118.176658,ATLANTIC 1
718008,S,16.887,4,33.997066,-118.176999,ATLANTIC 2
718012,S,17.537,5,34.005785,-118.172807,WASHINGTON
776208,S,17.607,4,34.006795,-118.172616,SLAUSON
716891,S,18.167,3,34.014955,-118.172721,S OF 5
718321,S,18.477,4,34.019379,-118.17355,OLYMPIC
716875,S,18.714,4,34.022791,-118.172955,EASTERN
776215,S,19.007,5,34.026963,-118.1724,N/O WHITTIER
776253,S,19.307,3,34.031085,-118.171069,S/B 710 - 3RD ST OFF
718017,S,19.547,3,34.0344,-118.170119,THIRD
718018,S,19.897,3,34.039459,-118.170157,CESAR CHAVEZ AV
776197,S,20.907,3,34.052438,-118.164419,S/O RAMONA
