timestamp,777204_ML_entry,777215_FR,777244_FR,772690_OR,772691_FR,772981_FR,772982_OR,774412_OR,774413_FR,774458_CD,774459_FF,737211_OR,774193_FF,718318_OR,718319_FR,716844_OR,717961_FR,716846_OR,717965_FR,716850_OR,761735_FR,716852_OR,717974_FR,716854_OR,716856_FF,718043_OR,716858_OR,718477_FR,716861_OR,717982_FR,716862_OR,717991_FR,716864_OR,717994_FR,716866_OR,717999_FR,718004_OR,718005_FR,718494_FR,716869_OR,716871_OR,718009_FR,717802_OR,718013_FR,765597_FF,776229_FR,718015_FR,763935_OR,776256_FF,768446_FR,776243_OR,776187_FR,776188_ML_exit
06/02/2026 00:00:00,106,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,3,26,11,9,,,,,17,15,,,,11,,,,,,,,,,,114
06/02/2026 00:05:00,101,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,7,18,6,6,,,,,13,17,,,,4,,,,,,,,,,,108
06/02/2026 00:10:00,97,,,,,,,,,,,,,,,,,,,,,,,,,,7,11,3,17,11,11,,,,,12,17,,,,6,,,,,,,,,,,109
06/02/2026 00:15:00,90,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,3,27,8,15,,,,,26,15,,,,7,,,,,,,,,,,106
06/02/2026 00:20:00,97,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,1,24,4,16,,,,,16,17,,,,6,,,,,,,,,,,100
06/02/2026 00:25:00,93,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,2,22,11,6,,,,,15,15,,,,6,,,,,,,,,,,96
06/02/2026 00:30:00,110,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,5,13,12,7,,,,,19,5,,,,8,,,,,,,,,,,91
06/02/2026 00:35:00,93,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,6,24,7,11,,,,,20,10,,,,4,,,,,,,,,,,89
06/02/2026 00:40:00,102,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,1,8,7,16,,,,,26,15,,,,2,,,,,,,,,,,85
06/02/2026 00:45:00,112,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,1,15,1,3,,,,,11,10,,,,4,,,,,,,,,,,83
