station,dir,type,role,abs_pm,lanes,name,lat,lon
777204,N,ML,ML_entry,0.17,4,E. of Route 43 Exit,33.766621,-118.210746
777215,N,FR,FR,0.364,1,E. Of Route 43 Exit,33.767621,-118.207815
777244,N,FR,FR,1.76,2,On Pico Ave,33.787577,-118.207552
772690,N,OR,OR,1.84,1,E/B ANAHEIM - N/B710,33.788736,-118.207663
772691,N,FR,FR,1.84,1,E/B ANAHEIM - N/B710,33.788736,-118.207663
772981,N,FR,FR,1.84,1,W/B ANAHEIM- N/B 710,33.788736,-118.207663
772982,N,OR,OR,1.84,1,W/B ANAHEIM- N/B 710,33.788736,-118.207663
774412,N,OR,OR,3.05,1,WILLOW STREET,33.806183,-118.207214
774413,N,FR,FR,3.05,1,WILLOW STREET,33.806183,-118.207214
774458,N,CD,CD,4.29,2,NB 710 CONN,33.82419,-118.20687
774459,N,FF,FF,4.29,1,NB 710 TO SB 405,33.82419,-118.20687
737211,N,OR,OR,4.76,1,PACIFIC,33.830873,-118.208577
774193,N,FF,FF,4.76,2,PACIFIC,33.830873,-118.208577
718318,N,OR,OR,5.73,1,DEL AMO EB,33.844662,-118.205795
718319,N,FR,FR,5.73,1,DEL AMO EB,33.844662,-118.205795
716844,N,OR,OR,6.04,1,DEL AMO WB,33.849095,-118.205202
717961,N,FR,FR,6.04,1,DEL AMO WB,33.849095,-118.205202
716846,N,OR,OR,7.17,1,LONG BEACH NB,33.864017,-118.19821
717965,N,FR,FR,7.17,1,LONG BEACH NB,33.864017,-118.19821
716850,N,OR,OR,9.14,1,ALONDRA,33.891258,-118.18823
761735,N,FR,FR,9.14,1,ALONDRA,33.891258,-118.18823
716852,N,OR,OR,9.94,1,ROSECRANS EB,33.902585,-118.185914
717974,N,FR,FR,9.94,1,ROSECRANS EB,33.902585,-118.185914
716854,N,OR,OR,10.14,1,ROSECRANS WB,33.905011,-118.184089
716856,N,FF,FF,11.14,1,EB/WB 105 TO NB 710,33.918675,-118.178732
718043,N,OR,OR,11.14,1,FM RT 105,33.918675,-118.178732
716858,N,OR,OR,11.907,1,IMPERIAL EB,33.929626,-118.178731
718477,N,FR,FR,11.907,1,IMPERIAL EB,33.929626,-118.178731
716861,N,OR,OR,12.057,1,IMPERIAL WB,33.931754,-118.178439
717982,N,FR,FR,12.057,1,IMPERIAL WB,33.931754,-118.178439
716862,N,OR,OR,13.427,1,FIRESTONE EB,33.949445,-118.170327
717991,N,FR,FR,13.427,2,FIRESTONE EB,33.949445,-118.170327
716864,N,OR,OR,13.517,1,FIRESTONE WB,33.950741,-118.170417
717994,N,FR,FR,13.517,1,FIRESTONE WB,33.950741,-118.170417
716866,N,OR,OR,14.507,1,FLORENCE EB,33.964927,-118.168788
717999,N,FR,FR,14.507,1,FLORENCE EB,33.964927,-118.168788
718004,N,OR,OR,14.767,2,FLORENCE WB,33.968571,-118.167682
718005,N,FR,FR,14.767,1,FLORENCE WB,33.968571,-118.167682
718494,N,FR,FR,17.067,1,ATLANTIC NB,33.999405,-118.175639
716869,N,OR,OR,17.147,1,ATLANTIC NB,34.000423,-118.174959
716871,N,OR,OR,17.547,1,WASHINGTON,34.005883,-118.172597
718009,N,FR,FR,17.547,1,WASHINGTON,34.005883,-118.172597
717802,N,OR,OR,18.507,1,OLYMPIC,34.019763,-118.173271
718013,N,FR,FR,18.507,1,OLYMPIC,34.019763,-118.173271
765597,N,FF,FF,18.581,1,NB 5 TO NB 710,34.02084,-118.173195
776229,N,FR,FR,19.307,2,N/B 710-FM 60,34.031074,-118.170833
718015,N,FR,FR,19.437,1,THIRD,34.032849,-118.170134
763935,N,OR,OR,19.437,1,THIRD,34.032849,-118.170134
776256,N,FF,FF,19.507,2,CONNECTOR TO E/B 60,34.033836,-118.169915
768446,N,FR,FR,19.867,1,CESAR CHAVEZ / FORD,34.039036,-118.169921
776243,N,OR,OR,20.307,1,FLORAL DR,34.04534,-118.169425
776187,N,FR,FR,21.407,2,N/O RAMONA,34.059988,-118.165192
776188,N,ML,ML_exit,21.407,2,N/O RAMONA,34.059988,-118.165192
777203,S,ML,ML_exit,0.17,4,E. of Route 43 Exit,33.767072,-118.21011
772702,S,OR,OR,1.84,1,E/B ANAHEIM - S/B710,33.788737,-118.207896
772703,S,FR,FR,1.84,1,E/B ANAHEIM - S/B710,33.788737,-118.207896
772712,S,OR,OR,1.84,1,W/B ANAHEIM - S/B710,33.788737,-118.207896
772713,S,FR,FR,1.84,1,W/B ANAHEIM - S/B710,33.788737,-118.207896
774390,S,OR,OR,3.05,1,WILLOW STREET,33.806185,-118.207378
774391,S,FR,FR,3.05,1,WILLOW STREET,33.806185,-118.207378
774460,S,FF,FF,4.29,1,SB 710 TO SB 405,33.824173,-118.207084
774461,S,FF,FF,4.29,1,NB 405 TO SB 710,33.824173,-118.207084
716843,S,OR,OR,5.99,1,DEL AMO WB,33.848404,-118.20545
