timestamp,777204_ML_entry,777215_FR,777244_FR,772690_OR,772691_FR,772981_FR,772982_OR,774412_OR,774413_FR,774458_CD,774459_FF,737211_OR,774193_FF,718318_OR,718319_FR,716844_OR,717961_FR,716846_OR,717965_FR,716850_OR,761735_FR,716852_OR,717974_FR,716854_OR,716856_FF,718043_OR,716858_OR,718477_FR,716861_OR,717982_FR,716862_OR,717991_FR,716864_OR,717994_FR,716866_OR,717999_FR,718004_OR,718005_FR,718494_FR,716869_OR,716871_OR,718009_FR,717802_OR,718013_FR,765597_FF,776229_FR,718015_FR,763935_OR,776256_FF,768446_FR,776243_OR,776187_FR,776188_ML_exit
06/04/2026 00:00:00,106,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,6,19,8,10,,,,,14,19,,,,7,,,,,,,,,,,120
06/04/2026 00:05:00,93,,,,,,,,,,,,,,,,,,,,,,,,,,13,6,4,29,8,7,,,,,18,16,,,,2,,,,,,,,,,,117
06/04/2026 00:10:00,96,,,,,,,,,,,,,,,,,,,,,,,,,,13,6,9,20,11,9,,,,,14,17,,,,5,,,,,,,,,,,116
06/04/2026 00:15:00,101,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,5,30,4,15,,,,,21,16,,,,5,,,,,,,,,,,112
06/04/2026 00:20:00,89,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,14,6,12,,,,,9,16,,,,6,,,,,,,,,,,106
06/04/2026 00:25:00,106,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,5,16,8,9,,,,,13,18,,,,3,,,,,,,,,,,103
06/04/2026 00:30:00,97,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,4,22,4,13,,,,,16,13,,,,4,,,,,,,,,,,101
06/04/2026 00:35:00,92,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,3,21,6,5,,,,,12,17,,,,1,,,,,,,,,,,97
06/04/2026 00:40:00,116,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,3,12,9,16,,,,,15,13,,,,1,,,,,,,,,,,95
06/04/2026 00:45:00,99,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,5,20,6,9,,,,,17,12,,,,2,,,,,,,,,,,91
06/04/2026 00:50:00,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,17,7,12,,,,,17,12,,,,2,,,,,,,,,,,87
06/04/2026 00:55:00,93,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,4,19,6,3,,,,,15,15,,,,3,,,,,,,,,,,83
06/04/2026 01:00:00,102,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,3,17,8,4,,,,,9,10,,,,7,,,,,,,,,,,78
06/04/2026 01:05:00,97,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,3,7,4,10,,,,,20,11,,,,2,,,,,,,,,,,78
06/04/2026 01:10:00,90,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,13,21,13,5,,,,,8,7,,,,4,,,,,,,,,,,76
06/04/2026 01:15:00,97,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,7,21,14,9,,,,,17,18,,,,5,,,,,,,,,,,74
06/04/2026 01:20:00,81,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,4,18,4,9,,,,,13,12,,,,4,,,,,,,,,,,74
06/04/2026 01:25:00,80,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,5,8,6,9,,,,,12,7,,,,7,,,,,,,,,,,70
06/04/2026 01:30:00,69,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,6,19,3,13,,,,,17,8,,,,0,,,,,,,,,,,69
06/04/2026 01:35:00,83,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,16,11,4,,,,,16,12,,,,2,,,,,,,,,,,69
06/04/2026 01:40:00,93,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,4,9,2,7,,,,,16,10,,,,3,,,,,,,,,,,68
06/04/2026 01:45:00,81,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,4,18,8,6,,,,,14,10,,,,2,,,,,,,,,,,67
06/04/2026 01:50:00,76,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,6,7,8,,,,,17,9,,,,1,,,,,,,,,,,67
06/04/2026 01:55:00,86,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,7,6,4,7,,,,,15,13,,,,2,,,,,,,,,,,62
06/04/2026 02:00:00,72,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,3,16,9,2,,,,,6,9,,,,2,,,,,,,,,,,61
06/04/2026 02:05:00,81,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,3,5,5,5,,,,,16,11,,,,4,,,,,,,,,,,61
06/04/2026 02:10:00,70,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,3,14,1,6,,,,,7,11,,,,3,,,,,,,,,,,65
06/04/2026 02:15:00,87,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,18,3,10,,,,,11,9,,,,2,,,,,,,,,,,65
06/04/2026 02:20:00,90,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,2,11,10,7,,,,,15,8,,,,10,,,,,,,,,,,64
06/04/2026 02:25:00,86,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,0,14,4,9,,,,,14,9,,,,2,,,,,,,,,,,60
06/04/2026 02:30:00,83,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,3,13,9,8,,,,,17,8,,,,2,,,,,,,,,,,59
06/04/2026 02:35:00,81,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,3,6,7,6,,,,,6,6,,,,5,,,,,,,,,,,61
06/04/2026 02:40:00,79,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,1,5,11,8,,,,,17,5,,,,3,,,,,,,,,,,64
06/04/2026 02:45:00,91,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2,7,9,10,,,,,13,12,,,,5,,,,,,,,,,,62
06/04/2026 02:50:00,87,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,1,11,5,8,,,,,10,8,,,,3,,,,,,,,,,,57
06/04/2026 02:55:00,93,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,2,8,9,10,,,,,17,8,,,,1,,,,,,,,,,,55
06/04/2026 03:00:00,102,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,1,15,16,8,,,,,16,6,,,,3,,,,,,,,,,,53
06/04/2026 03:05:00,102,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,3,8,14,16,,,,,11,10,,,,3,,,,,,,,,,,55
06/04/2026 03:10:00,78,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,2,8,9,12,,,,,17,6,,,,2,,,,,,,,,,,57
06/04/2026 03:15:00,72,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,5,3,20,6,,,,,25,4,,,,5,,,,,,,,,,,58
06/04/2026 03:20:00,79,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2,8,4,7,,,,,21,3,,,,5,,,,,,,,,,,63
06/04/2026 03:25:00,69,,,,,,,,,,,,,,,,,,,,,,,,,,22,4,8,3,11,11,,,,,15,6,,,,5,,,,,,,,,,,66
06/04/2026 03:30:00,74,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,2,10,14,11,,,,,16,3,,,,9,,,,,,,,,,,70
06/04/2026 03:35:00,83,,,,,,,,,,,,,,,,,,,,,,,,,,28,3,3,8,11,12,,,,,14,12,,,,4,,,,,,,,,,,74
06/04/2026 03:40:00,72,,,,,,,,,,,,,,,,,,,,,,,,,,29,3,7,6,16,9,,,,,26,6,,,,5,,,,,,,,,,,78
06/04/2026 03:45:00,76,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,8,6,15,16,,,,,19,8,,,,16,,,,,,,,,,,80
06/04/2026 03:50:00,63,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,5,12,15,17,,,,,23,7,,,,9,,,,,,,,,,,78
06/04/2026 03:55:00,74,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,2,11,16,7,,,,,15,9,,,,10,,,,,,,,,,,74
06/04/2026 04:00:00,71,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,4,8,11,5,,,,,24,8,,,,7,,,,,,,,,,,76
06/04/2026 04:05:00,79,,,,,,,,,,,,,,,,,,,,,,,,,,22,6,3,12,20,13,,,,,18,9,,,,8,,,,,,,,,,,80
06/04/2026 04:10:00,92,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,7,2,15,15,,,,,22,4,,,,10,,,,,,,,,,,91
06/04/2026 04:15:00,93,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,6,8,30,10,,,,,18,10,,,,3,,,,,,,,,,,99
06/04/2026 04:20:00,87,,,,,,,,,,,,,,,,,,,,,,,,,,31,8,5,12,20,11,,,,,28,9,,,,11,,,,,,,,,,,106
06/04/2026 04:25:00,83,,,,,,,,,,,,,,,,,,,,,,,,,,24,7,7,9,20,13,,,,,38,10,,,,14,,,,,,,,,,,116
06/04/2026 04:30:00,88,,,,,,,,,,,,,,,,,,,,,,,,,,21,7,9,15,27,18,,,,,22,10,,,,12,,,,,,,,,,,127
06/04/2026 04:35:00,87,,,,,,,,,,,,,,,,,,,,,,,,,,37,7,9,16,24,30,,,,,23,10,,,,19,,,,,,,,,,,141
