tag,day,wall_s,loaded,inserted,teleports,run_dir,finished_utc
identity,2026-06-04,378.4,94865,88699,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/identity__2026-06-04,2026-08-18T10:51:00Z
identity,2026-06-03,401.3,93372,87065,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/identity__2026-06-03,2026-08-18T10:51:23Z
identity,2026-06-02,482.6,92606,88258,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/identity__2026-06-02,2026-08-18T10:52:44Z
prop0,2026-06-03,516.1,100094,92820,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/prop0__2026-06-03,2026-08-18T10:59:59Z
prop0,2026-06-04,709.3,101583,94129,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/prop0__2026-06-04,2026-08-18T11:04:34Z
prop0,2026-06-02,818.2,99357,92431,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/prop0__2026-06-02,2026-08-18T11:04:38Z
scale_0p70,2026-06-02,594.9,64831,64831,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/scale_0p70__2026-06-02,2026-08-18T11:09:54Z
scale_0p70,2026-06-03,676.7,65339,65339,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/scale_0p70__2026-06-03,2026-08-18T11:15:50Z
scale_0p70,2026-06-04,683.8,66392,66390,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/scale_0p70__2026-06-04,2026-08-18T11:16:02Z
scale_0p85,2026-06-02,1017.9,78722,78721,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/scale_0p85__2026-06-02,2026-08-18T11:26:52Z
scale_0p85,2026-06-04,19745.5,80654,80648,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/scale_0p85__2026-06-04,2026-08-18T16:45:08Z
scale_0p85,2026-06-03,19765.4,79382,78679,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/scale_0p85__2026-06-03,2026-08-18T16:45:16Z
scale_1p15,2026-06-04,589.9,109064,94030,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/scale_1p15__2026-06-04,2026-08-18T16:55:06Z
scale_1p15,2026-06-03,636.5,107355,92846,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/scale_1p15__2026-06-03,2026-08-18T16:55:44Z
scale_1p15,2026-06-02,19732.4,106482,92166,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/scale_1p15__2026-06-02,2026-08-18T16:55:45Z
scale_1p30,2026-06-04,1056.5,123317,98048,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/scale_1p30__2026-06-04,2026-08-18T17:13:21Z
scale_1p30,2026-06-03,1076.2,121387,95694,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/scale_1p30__2026-06-03,2026-08-18T17:13:40Z
scale_1p30,2026-06-02,1130.6,120368,94867,0,/Users/chesonma/Downloads/RoamingOS/corridorbench/results/campaign/scale_1p30__2026-06-02,2026-08-18T17:13:56Z
