station,t,veh_5min
716857,0,38
716857,300,188
716857,600,262
716857,900,281
716857,1200,292
716857,1500,280
716857,1800,253
716857,2100,329
716857,2400,310
716857,2700,355
716857,3000,362
716857,3300,402
716857,3600,403
716857,3900,393
716857,4200,462
716857,4500,473
716857,4800,493
716857,5100,490
716857,5400,473
716857,5700,468
716857,6000,484
716857,6300,456
716857,6600,466
716857,6900,463
716857,7200,451
716857,7500,457
716857,7800,443
716857,8100,479
716857,8400,481
716857,8700,471
716857,9000,475
716857,9300,495
716857,9600,480
716857,9900,454
716857,10200,484
716857,10500,482
716857,10800,463
716857,11100,465
716857,11400,458
716857,11700,462
716857,12000,483
716857,12300,484
716857,12600,437
716857,12900,456
716857,13200,468
716857,13500,469
716857,13800,477
716857,14100,452
716857,14400,491
716857,14700,461
716857,15000,445
716857,15300,483
716857,15600,436
716857,15900,439
716857,16200,422
716857,16500,463
716857,16800,437
716857,17100,463
716857,17400,479
716857,17700,458
716857,18000,471
716857,18300,480
716857,18600,465
716857,18900,470
716857,19200,479
716857,19500,481
716857,19800,496
716857,20100,479
716857,20400,477
716857,20700,498
716857,21000,475
716857,21300,488
716857,21600,478
716857,21900,489
716857,22200,498
716857,22500,489
716857,22800,482
716857,23100,479
717980,0,44
717980,300,205
717980,600,264
717980,900,271
717980,1200,290
717980,1500,268
717980,1800,274
717980,2100,316
717980,2400,307
717980,2700,366
717980,3000,357
717980,3300,404
717980,3600,401
717980,3900,397
717980,4200,473
717980,4500,466
717980,4800,490
717980,5100,490
717980,5400,485
717980,5700,457
717980,6000,470
717980,6300,459
717980,6600,456
717980,6900,474
717980,7200,459
717980,7500,450
717980,7800,441
717980,8100,458
717980,8400,497
717980,8700,465
717980,9000,480
717980,9300,490
717980,9600,487
717980,9900,434
717980,10200,479
717980,10500,475
717980,10800,461
717980,11100,455
717980,11400,465
717980,11700,457
717980,12000,482
717980,12300,480
717980,12600,438
717980,12900,452
717980,13200,458
717980,13500,465
717980,13800,474
717980,14100,464
717980,14400,475
717980,14700,454
717980,15000,458
717980,15300,476
717980,15600,432
717980,15900,432
717980,16200,433
717980,16500,456
717980,16800,431
717980,17100,458
717980,17400,479
717980,17700,467
717980,18000,466
717980,18300,475
717980,18600,477
717980,18900,457
717980,19200,485
717980,19500,475
717980,19800,486
717980,20100,486
717980,20400,460
717980,20700,504
717980,21000,475
717980,21300,476
717980,21600,485
717980,21900,479
717980,22200,497
717980,22500,489
717980,22800,482
717980,23100,459
717983,0,281
717983,300,344
717983,600,336
717983,900,400
717983,1200,408
717983,1500,387
717983,1800,354
717983,2100,380
717983,2400,414
717983,2700,445
717983,3000,451
717983,3300,494
717983,3600,508
717983,3900,475
717983,4200,440
717983,4500,432
717983,4800,425
717983,5100,427
717983,5400,422
717983,5700,424
717983,6000,439
717983,6300,421
717983,6600,425
717983,6900,375
717983,7200,380
717983,7500,432
717983,7800,354
717983,8100,385
717983,8400,435
717983,8700,375
717983,9000,277
717983,9300,475
717983,9600,335
717983,9900,378
717983,10200,394
717983,10500,372
717983,10800,378
717983,11100,398
717983,11400,412
717983,11700,336
717983,12000,411
717983,12300,384
