station,t,mph
716857,0,63.507
716857,300,63.522
716857,600,61.072
716857,900,61.577
716857,1200,62.387
716857,1500,61.722
716857,1800,61.072
716857,2100,60.205
716857,2400,61.048
716857,2700,60.785
716857,3000,61.029
716857,3300,59.764
716857,3600,60.661
716857,3900,59.986
716857,4200,58.944
716857,4500,59.151
716857,4800,58.055
716857,5100,58.92
716857,5400,59.784
716857,5700,59.311
716857,6000,59.623
716857,6300,59.737
716857,6600,58.621
716857,6900,59.325
716857,7200,59.802
716857,7500,59.42
716857,7800,59.062
716857,8100,59.042
716857,8400,58.955
716857,8700,59.212
716857,9000,59.673
716857,9300,59.331
716857,9600,59.152
716857,9900,58.856
716857,10200,58.552
716857,10500,57.664
716857,10800,58.512
716857,11100,59.326
716857,11400,59.069
716857,11700,57.81
716857,12000,59.079
716857,12300,58.482
716857,12600,59.827
716857,12900,59.471
716857,13200,59.449
716857,13500,59.598
716857,13800,58.517
716857,14100,59.64
716857,14400,59.568
716857,14700,59.21
716857,15000,60.283
716857,15300,59.762
716857,15600,60.466
716857,15900,60.541
716857,16200,60.537
716857,16500,59.815
716857,16800,60.66
716857,17100,59.324
716857,17400,58.757
716857,17700,59.729
716857,18000,57.823
716857,18300,58.275
716857,18600,59.559
716857,18900,59.872
716857,19200,59.281
716857,19500,58.909
716857,19800,58.198
716857,20100,59.097
716857,20400,59.755
716857,20700,58.0
716857,21000,58.355
716857,21300,58.221
716857,21600,58.292
716857,21900,57.833
716857,22200,58.006
716857,22500,58.622
716857,22800,59.035
716857,23100,58.883
717980,0,60.387
717980,300,58.946
717980,600,55.627
717980,900,56.683
717980,1200,55.351
717980,1500,56.083
717980,1800,55.09
717980,2100,54.846
717980,2400,53.396
717980,2700,52.257
717980,3000,49.138
717980,3300,46.24
717980,3600,46.068
717980,3900,46.32
717980,4200,39.525
717980,4500,39.4
717980,4800,38.709
717980,5100,38.601
717980,5400,38.931
717980,5700,38.132
717980,6000,38.44
717980,6300,39.723
717980,6600,39.156
717980,6900,38.66
717980,7200,37.369
717980,7500,38.854
717980,7800,37.732
717980,8100,39.68
717980,8400,38.187
717980,8700,37.495
717980,9000,38.241
717980,9300,38.58
717980,9600,38.829
717980,9900,37.148
717980,10200,38.346
717980,10500,37.255
717980,10800,39.242
717980,11100,40.131
717980,11400,37.666
717980,11700,38.751
717980,12000,38.991
717980,12300,37.706
717980,12600,42.152
717980,12900,37.541
717980,13200,39.769
717980,13500,37.831
717980,13800,37.213
717980,14100,38.586
717980,14400,38.424
717980,14700,38.61
717980,15000,40.787
717980,15300,37.388
717980,15600,39.854
717980,15900,41.82
717980,16200,43.406
717980,16500,38.715
717980,16800,41.509
717980,17100,40.712
717980,17400,38.367
717980,17700,40.613
717980,18000,39.38
717980,18300,38.462
717980,18600,38.3
717980,18900,37.279
717980,19200,39.308
717980,19500,38.27
717980,19800,38.633
717980,20100,36.571
717980,20400,36.561
717980,20700,34.734
717980,21000,36.534
717980,21300,35.748
717980,21600,36.786
717980,21900,34.651
717980,22200,37.574
717980,22500,35.805
717980,22800,34.754
717980,23100,34.411
717983,0,60.707
717983,300,59.08
717983,600,59.98
717983,900,58.76
717983,1200,54.312
717983,1500,54.682
717983,1800,59.354
717983,2100,58.441
717983,2400,52.742
717983,2700,53.547
717983,3000,49.006
717983,3300,42.878
717983,3600,41.538
717983,3900,48.893
717983,4200,52.693
717983,4500,55.286
717983,4800,55.843
717983,5100,56.354
717983,5400,56.896
717983,5700,54.362
717983,6000,55.072
717983,6300,52.941
717983,6600,54.29
717983,6900,24.355
717983,7200,34.358
717983,7500,31.438
717983,7800,32.609
717983,8100,36.255
717983,8400,41.477
717983,8700,34.0
717983,9000,21.93
717983,9300,39.132
717983,9600,28.731
717983,9900,39.84
717983,10200,26.531
717983,10500,29.12
717983,10800,39.124
717983,11100,34.742
717983,11400,36.362
717983,11700,18.209
717983,12000,34.179
717983,12300,39.45
717983,12600,37.013
717983,12900,27.379
717983,13200,28.323
717983,13500,25.994
717983,13800,20.169
717983,14100,39.388
717983,14400,32.517
717983,14700,33.431
717983,15000,22.416
717983,15300,40.628
717983,15600,43.594
717983,15900,31.078
717983,16200,34.292
717983,16500,39.15
717983,16800,41.601
717983,17100,37.359
717983,17400,53.72
717983,17700,54.991
717983,18000,56.769
717983,18300,56.904
717983,18600,55.914
717983,18900,57.573
717983,19200,57.654
717983,19500,58.947
717983,19800,57.934
717983,20100,56.613
717983,20400,53.598
717983,20700,56.851
717983,21000,58.212
717983,21300,57.173
717983,21600,59.098
717983,21900,57.363
717983,22200,58.118
717983,22500,57.712
717983,22800,56.632
717983,23100,57.571
717986,0,62.185
717986,300,61.41
717986,600,56.478
717986,900,57.449
717986,1200,58.803
717986,1500,60.42
717986,1800,55.04
717986,2100,58.283
717986,2400,56.665
717986,2700,57.725
717986,3000,55.58
717986,3300,54.25
717986,3600,57.308
717986,3900,51.213
717986,4200,48.096
717986,4500,43.936
717986,4800,44.065
717986,5100,47.873
717986,5400,44.589
717986,5700,48.699
717986,6000,44.392
717986,6300,40.96
717986,6600,42.923
717986,6900,43.979
717986,7200,42.073
717986,7500,42.824
717986,7800,43.949
717986,8100,47.428
717986,8400,45.395
717986,8700,47.155
717986,9000,47.177
717986,9300,44.271
717986,9600,45.711
717986,9900,43.639
717986,10200,43.815
717986,10500,42.128
717986,10800,48.165
717986,11100,52.342
717986,11400,46.156
717986,11700,45.762
717986,12000,45.297
717986,12300,45.366
717986,12600,44.06
717986,12900,48.712
717986,13200,47.907
717986,13500,51.29
717986,13800,47.784
717986,14100,45.272
717986,14400,49.216
717986,14700,46.592
717986,15000,49.362
717986,15300,49.216
717986,15600,52.926
717986,15900,57.05
717986,16200,48.588
717986,16500,52.739
717986,16800,48.059
717986,17100,44.465
717986,17400,47.371
717986,17700,49.747
717986,18000,47.09
717986,18300,50.119
717986,18600,46.702
717986,18900,46.122
717986,19200,43.971
717986,19500,50.109
717986,19800,45.025
717986,20100,40.55
717986,20400,41.008
717986,20700,42.777
717986,21000,42.796
717986,21300,42.6
717986,21600,42.632
717986,21900,43.096
717986,22200,41.081
717986,22500,39.526
717986,22800,39.494
717986,23100,34.753
717989,0,66.331
717989,300,62.277
717989,600,58.273
717989,900,59.539
717989,1200,58.477
717989,1500,61.133
717989,1800,54.214
717989,2100,59.842
717989,2400,57.495
717989,2700,57.817
717989,3000,52.721
