station,t,veh_5min
716857,0,62
716857,300,239
716857,600,287
716857,900,290
716857,1200,296
716857,1500,330
716857,1800,301
716857,2100,282
716857,2400,313
716857,2700,356
716857,3000,339
716857,3300,343
716857,3600,385
716857,3900,399
716857,4200,461
716857,4500,437
716857,4800,449
716857,5100,459
716857,5400,462
716857,5700,422
716857,6000,437
716857,6300,454
716857,6600,469
716857,6900,447
716857,7200,471
716857,7500,484
716857,7800,453
716857,8100,470
716857,8400,470
716857,8700,470
716857,9000,474
716857,9300,471
716857,9600,489
716857,9900,477
716857,10200,491
716857,10500,492
716857,10800,482
716857,11100,504
716857,11400,489
716857,11700,512
716857,12000,496
716857,12300,468
716857,12600,491
716857,12900,503
716857,13200,447
716857,13500,431
716857,13800,473
716857,14100,438
716857,14400,416
716857,14700,400
716857,15000,473
716857,15300,417
716857,15600,447
716857,15900,434
716857,16200,404
716857,16500,393
716857,16800,402
716857,17100,414
716857,17400,414
716857,17700,423
716857,18000,427
716857,18300,410
716857,18600,441
716857,18900,426
716857,19200,442
716857,19500,419
716857,19800,415
716857,20100,390
716857,20400,430
716857,20700,406
716857,21000,418
716857,21300,440
716857,21600,428
716857,21900,449
716857,22200,423
716857,22500,405
716857,22800,438
716857,23100,410
717980,0,66
717980,300,248
717980,600,284
717980,900,283
717980,1200,297
717980,1500,319
717980,1800,290
717980,2100,289
717980,2400,304
717980,2700,358
717980,3000,339
717980,3300,335
717980,3600,380
717980,3900,406
717980,4200,448
717980,4500,431
717980,4800,452
717980,5100,449
717980,5400,454
717980,5700,408
717980,6000,435
717980,6300,455
717980,6600,455
717980,6900,465
717980,7200,445
717980,7500,481
717980,7800,440
717980,8100,472
717980,8400,465
717980,8700,474
717980,9000,467
717980,9300,464
717980,9600,465
717980,9900,487
717980,10200,468
717980,10500,474
717980,10800,489
717980,11100,507
717980,11400,466
717980,11700,511
717980,12000,476
717980,12300,470
717980,12600,478
717980,12900,498
717980,13200,428
717980,13500,431
717980,13800,465
717980,14100,426
717980,14400,406
717980,14700,396
717980,15000,468
717980,15300,401
717980,15600,448
717980,15900,424
717980,16200,402
717980,16500,382
717980,16800,400
717980,17100,408
717980,17400,411
717980,17700,423
717980,18000,405
717980,18300,427
717980,18600,423
717980,18900,419
717980,19200,436
717980,19500,412
717980,19800,408
717980,20100,386
717980,20400,432
717980,20700,397
717980,21000,418
717980,21300,428
717980,21600,429
717980,21900,436
717980,22200,417
717980,22500,400
717980,22800,438
717980,23100,403
717983,0,283
717983,300,324
717983,600,354
717983,900,358
717983,1200,370
717983,1500,383
717983,1800,340
717983,2100,372
717983,2400,401
717983,2700,417
717983,3000,464
717983,3300,496
717983,3600,497
717983,3900,480
717983,4200,483
717983,4500,425
717983,4800,421
717983,5100,381
717983,5400,402
717983,5700,355
717983,6000,318
717983,6300,416
717983,6600,376
717983,6900,358
717983,7200,412
717983,7500,430
717983,7800,247
717983,8100,383
717983,8400,315
717983,8700,278
717983,9000,419
717983,9300,269
717983,9600,433
717983,9900,344
717983,10200,301
717983,10500,373
717983,10800,280
717983,11100,389
717983,11400,321
717983,11700,312
717983,12000,422
717983,12300,308
717983,12600,369
717983,12900,361
717983,13200,348
717983,13500,299
717983,13800,447
717983,14100,356
717983,14400,353
717983,14700,445
717983,15000,295
717983,15300,415
717983,15600,399
717983,15900,427
717983,16200,415
717983,16500,408
717983,16800,362
717983,17100,433
717983,17400,436
717983,17700,409
717983,18000,409
717983,18300,394
717983,18600,400
717983,18900,393
717983,19200,401
717983,19500,408
717983,19800,399
717983,20100,388
717983,20400,402
717983,20700,405
717983,21000,408
717983,21300,380
717983,21600,417
717983,21900,404
717983,22200,402
717983,22500,392
717983,22800,400
717983,23100,415
717986,0,57
717986,300,254
717986,600,226
717986,900,266
717986,1200,270
717986,1500,293
717986,1800,241
717986,2100,258
717986,2400,281
717986,2700,295
717986,3000,286
717986,3300,291
717986,3600,317
717986,3900,379
717986,4200,350
717986,4500,377
717986,4800,378
717986,5100,375
717986,5400,377
717986,5700,357
717986,6000,376
717986,6300,389
717986,6600,393
717986,6900,408
717986,7200,417
717986,7500,369
717986,7800,406
717986,8100,412
717986,8400,421
717986,8700,405
717986,9000,396
717986,9300,408
717986,9600,415
717986,9900,435
717986,10200,420
717986,10500,414
717986,10800,399
717986,11100,409
717986,11400,403
717986,11700,389
717986,12000,387
717986,12300,395
717986,12600,400
717986,12900,386
717986,13200,375
717986,13500,379
717986,13800,383
717986,14100,346
717986,14400,372
717986,14700,383
717986,15000,396
717986,15300,375
717986,15600,382
717986,15900,359
717986,16200,367
717986,16500,341
717986,16800,391
717986,17100,380
717986,17400,355
717986,17700,393
717986,18000,328
717986,18300,398
717986,18600,350
717986,18900,402
717986,19200,368
717986,19500,371
717986,19800,344
717986,20100,377
717986,20400,363
717986,20700,372
717986,21000,381
717986,21300,378
717986,21600,369
717986,21900,376
717986,22200,363
717986,22500,384
717986,22800,361
717986,23100,353
717989,0,46
717989,300,254
717989,600,213
717989,900,258
717989,1200,256
717989,1500,286
717989,1800,234
717989,2100,248
717989,2400,267
717989,2700,287
717989,3000,277
717989,3300,275
717989,3600,308
717989,3900,367
717989,4200,349
717989,4500,368
717989,4800,376
717989,5100,375
717989,5400,371
717989,5700,351
717989,6000,367
717989,6300,393
717989,6600,392
717989,6900,403
717989,7200,409
717989,7500,362
717989,7800,389
717989,8100,409
717989,8400,389
717989,8700,387
717989,9000,384
717989,9300,384
717989,9600,395
717989,9900,399
717989,10200,409
717989,10500,390
717989,10800,382
717989,11100,386
717989,11400,388
