station,t,mph
716857,0,64.083
716857,300,62.69
716857,600,61.697
716857,900,61.378
716857,1200,61.494
716857,1500,61.317
716857,1800,61.194
716857,2100,61.484
716857,2400,61.192
716857,2700,60.712
716857,3000,60.05
716857,3300,61.122
716857,3600,60.402
716857,3900,60.386
716857,4200,59.255
716857,4500,59.933
716857,4800,59.41
716857,5100,59.028
716857,5400,59.676
716857,5700,59.445
716857,6000,60.114
716857,6300,59.669
716857,6600,59.484
716857,6900,59.542
716857,7200,58.119
716857,7500,59.298
716857,7800,58.411
716857,8100,58.557
716857,8400,58.683
716857,8700,59.787
716857,9000,59.562
716857,9300,59.719
716857,9600,58.52
716857,9900,58.739
716857,10200,58.471
716857,10500,59.249
716857,10800,58.162
716857,11100,59.059
716857,11400,57.989
716857,11700,58.15
716857,12000,59.203
716857,12300,58.532
716857,12600,57.711
716857,12900,57.87
716857,13200,59.434
716857,13500,58.611
716857,13800,58.902
716857,14100,60.146
716857,14400,59.205
716857,14700,61.053
716857,15000,59.768
716857,15300,59.707
716857,15600,59.675
716857,15900,60.516
716857,16200,59.23
716857,16500,60.697
716857,16800,60.015
716857,17100,59.538
716857,17400,60.368
716857,17700,59.861
716857,18000,58.874
716857,18300,59.453
716857,18600,59.5
716857,18900,59.469
716857,19200,59.554
716857,19500,60.827
716857,19800,59.611
716857,20100,59.925
716857,20400,59.938
716857,20700,60.134
716857,21000,60.336
716857,21300,59.667
716857,21600,60.123
716857,21900,59.44
716857,22200,60.908
716857,22500,60.109
716857,22800,60.109
716857,23100,59.871
717980,0,60.153
717980,300,56.222
717980,600,55.248
717980,900,56.495
717980,1200,55.286
717980,1500,55.325
717980,1800,53.28
717980,2100,55.963
717980,2400,54.61
717980,2700,52.493
717980,3000,53.178
717980,3300,53.198
717980,3600,50.943
717980,3900,47.24
717980,4200,39.802
717980,4500,41.107
717980,4800,42.245
717980,5100,38.784
717980,5400,40.501
717980,5700,46.391
717980,6000,41.177
717980,6300,40.071
717980,6600,39.386
717980,6900,40.168
717980,7200,39.825
717980,7500,38.33
717980,7800,40.349
717980,8100,38.664
717980,8400,39.341
717980,8700,38.189
717980,9000,38.746
717980,9300,37.083
717980,9600,38.607
717980,9900,36.634
717980,10200,35.859
717980,10500,36.498
717980,10800,36.529
717980,11100,37.608
717980,11400,36.376
717980,11700,36.555
717980,12000,37.703
717980,12300,36.758
717980,12600,38.161
717980,12900,36.248
717980,13200,43.59
717980,13500,40.701
717980,13800,37.972
717980,14100,40.708
717980,14400,46.141
717980,14700,44.368
717980,15000,38.784
717980,15300,44.886
717980,15600,40.776
717980,15900,44.605
717980,16200,45.938
717980,16500,53.374
717980,16800,44.916
717980,17100,42.748
717980,17400,44.27
717980,17700,41.957
717980,18000,41.544
717980,18300,42.96
717980,18600,43.732
717980,18900,44.491
717980,19200,42.29
717980,19500,45.589
717980,19800,44.889
717980,20100,47.111
717980,20400,41.34
717980,20700,46.314
717980,21000,46.525
717980,21300,40.896
717980,21600,43.777
717980,21900,40.832
717980,22200,46.221
717980,22500,46.233
717980,22800,39.592
717980,23100,40.942
717983,0,60.753
717983,300,59.754
717983,600,59.114
717983,900,57.684
717983,1200,59.154
717983,1500,59.186
717983,1800,58.365
717983,2100,58.19
717983,2400,58.261
717983,2700,55.994
717983,3000,49.077
717983,3300,43.89
717983,3600,44.735
717983,3900,43.358
717983,4200,47.545
717983,4500,52.702
717983,4800,48.353
717983,5100,26.804
717983,5400,43.676
717983,5700,34.059
717983,6000,24.389
717983,6300,38.447
717983,6600,33.401
717983,6900,44.093
717983,7200,41.896
717983,7500,32.375
717983,7800,22.19
717983,8100,39.184
717983,8400,21.84
717983,8700,19.732
717983,9000,39.738
717983,9300,21.599
717983,9600,41.464
717983,9900,26.297
717983,10200,18.83
717983,10500,36.099
717983,10800,25.372
717983,11100,26.267
717983,11400,23.199
717983,11700,27.667
717983,12000,31.504
717983,12300,22.245
717983,12600,27.017
717983,12900,22.04
717983,13200,27.403
717983,13500,23.257
717983,13800,27.359
717983,14100,39.838
717983,14400,32.738
717983,14700,33.172
717983,15000,24.867
717983,15300,48.709
717983,15600,30.379
717983,15900,37.859
717983,16200,30.143
717983,16500,35.967
717983,16800,36.167
717983,17100,44.107
717983,17400,49.551
717983,17700,55.346
717983,18000,54.873
717983,18300,57.678
717983,18600,57.177
717983,18900,58.727
717983,19200,58.179
717983,19500,57.424
717983,19800,58.07
717983,20100,58.2
717983,20400,58.197
717983,20700,58.238
717983,21000,57.825
717983,21300,56.741
717983,21600,55.777
717983,21900,57.874
717983,22200,57.623
717983,22500,56.606
717983,22800,58.678
717983,23100,56.661
717986,0,61.718
717986,300,56.707
717986,600,58.971
717986,900,55.124
717986,1200,57.513
717986,1500,56.343
717986,1800,59.334
717986,2100,55.814
717986,2400,57.804
717986,2700,57.54
717986,3000,57.36
717986,3300,56.73
717986,3600,55.809
717986,3900,51.233
717986,4200,55.054
717986,4500,54.316
717986,4800,50.313
717986,5100,50.315
717986,5400,50.939
717986,5700,51.66
717986,6000,52.841
717986,6300,48.222
717986,6600,44.54
717986,6900,44.009
717986,7200,44.929
717986,7500,48.769
717986,7800,43.264
717986,8100,42.51
717986,8400,50.246
717986,8700,45.687
717986,9000,42.082
717986,9300,43.96
