station,t,mph
716857,0,63.544
716857,300,64.285
716857,600,62.688
716857,900,62.223
716857,1200,62.267
716857,1500,63.482
716857,1800,62.978
716857,2100,61.899
716857,2400,61.385
716857,2700,61.374
716857,3000,61.79
716857,3300,61.673
716857,3600,61.53
716857,3900,60.869
716857,4200,61.781
716857,4500,60.482
716857,4800,59.508
716857,5100,60.066
716857,5400,60.292
716857,5700,59.888
716857,6000,60.675
716857,6300,60.251
716857,6600,61.116
716857,6900,60.651
716857,7200,60.318
716857,7500,61.294
716857,7800,61.155
716857,8100,60.616
716857,8400,60.543
716857,8700,60.177
716857,9000,60.828
716857,9300,61.773
716857,9600,61.772
716857,9900,60.83
716857,10200,61.006
716857,10500,60.558
716857,10800,59.89
716857,11100,61.527
716857,11400,60.665
716857,11700,61.362
716857,12000,60.609
716857,12300,61.253
716857,12600,60.558
716857,12900,61.237
716857,13200,60.904
716857,13500,61.388
716857,13800,61.607
716857,14100,61.359
716857,14400,60.722
716857,14700,62.059
716857,15000,60.851
716857,15300,60.989
716857,15600,61.355
716857,15900,61.222
716857,16200,60.517
716857,16500,61.67
716857,16800,61.169
716857,17100,61.203
716857,17400,60.921
716857,17700,60.349
716857,18000,61.411
716857,18300,60.534
716857,18600,60.362
716857,18900,61.212
716857,19200,60.827
716857,19500,60.526
716857,19800,59.657
716857,20100,60.088
716857,20400,61.484
716857,20700,60.872
716857,21000,60.035
716857,21300,61.405
716857,21600,60.708
716857,21900,60.317
716857,22200,61.117
716857,22500,61.489
716857,22800,60.787
716857,23100,60.444
717980,0,61.921
717980,300,60.85
717980,600,59.339
717980,900,58.388
717980,1200,57.946
717980,1500,60.465
717980,1800,59.243
717980,2100,58.448
717980,2400,55.967
717980,2700,56.745
717980,3000,57.21
717980,3300,56.567
717980,3600,56.965
717980,3900,54.737
717980,4200,53.783
717980,4500,51.827
717980,4800,52.415
717980,5100,52.621
717980,5400,50.505
717980,5700,53.508
717980,6000,54.061
717980,6300,53.93
717980,6600,54.286
717980,6900,54.081
717980,7200,50.142
717980,7500,54.448
717980,7800,48.377
717980,8100,50.449
717980,8400,48.63
717980,8700,52.842
717980,9000,51.702
717980,9300,52.224
717980,9600,54.423
717980,9900,50.094
717980,10200,52.574
717980,10500,49.759
717980,10800,52.372
717980,11100,50.825
717980,11400,51.669
717980,11700,51.985
717980,12000,51.12
717980,12300,50.934
717980,12600,54.099
717980,12900,52.68
717980,13200,50.734
717980,13500,50.75
717980,13800,48.767
717980,14100,53.298
717980,14400,50.143
717980,14700,49.337
717980,15000,54.026
717980,15300,52.579
717980,15600,54.887
717980,15900,54.763
717980,16200,52.242
717980,16500,54.927
717980,16800,54.753
717980,17100,55.343
717980,17400,51.518
717980,17700,49.836
717980,18000,52.232
717980,18300,51.087
717980,18600,53.501
717980,18900,53.561
717980,19200,52.241
717980,19500,52.19
717980,19800,52.02
717980,20100,51.405
717980,20400,51.754
717980,20700,47.051
717980,21000,45.439
717980,21300,53.265
717980,21600,50.723
717980,21900,49.742
717980,22200,53.759
717980,22500,49.73
717980,22800,50.02
717980,23100,50.418
717983,0,61.486
717983,300,61.172
717983,600,60.241
717983,900,60.555
717983,1200,60.135
717983,1500,60.633
717983,1800,60.434
717983,2100,60.407
717983,2400,60.004
717983,2700,58.451
717983,3000,59.149
717983,3300,58.12
717983,3600,57.583
717983,3900,56.801
717983,4200,50.213
717983,4500,46.438
717983,4800,46.466
717983,5100,56.152
717983,5400,58.32
717983,5700,58.471
717983,6000,58.219
717983,6300,59.351
717983,6600,59.089
717983,6900,58.931
717983,7200,58.833
717983,7500,59.373
717983,7800,60.469
717983,8100,59.172
717983,8400,60.261
717983,8700,60.04
717983,9000,59.364
717983,9300,59.476
717983,9600,60.435
717983,9900,60.909
717983,10200,59.728
717983,10500,59.526
717983,10800,59.522
717983,11100,61.44
717983,11400,59.425
717983,11700,59.21
717983,12000,59.434
717983,12300,60.387
717983,12600,60.913
717983,12900,58.437
717983,13200,59.737
717983,13500,59.949
717983,13800,59.607
717983,14100,59.146
717983,14400,59.899
717983,14700,59.275
717983,15000,59.165
717983,15300,60.2
717983,15600,58.682
717983,15900,59.76
717983,16200,60.177
717983,16500,59.637
717983,16800,59.847
717983,17100,59.301
717983,17400,59.076
717983,17700,60.17
717983,18000,58.882
717983,18300,59.711
717983,18600,60.427
717983,18900,59.339
717983,19200,59.003
717983,19500,59.744
717983,19800,61.558
717983,20100,61.522
717983,20400,61.957
717983,20700,60.109
717983,21000,60.233
717983,21300,58.907
717983,21600,61.001
717983,21900,60.182
717983,22200,61.886
717983,22500,60.73
717983,22800,60.25
717983,23100,60.451
717986,0,63.151
717986,300,62.435
717986,600,60.631
717986,900,60.301
717986,1200,61.322
717986,1500,62.327
717986,1800,61.038
717986,2100,60.207
717986,2400,59.205
717986,2700,60.51
717986,3000,60.321
717986,3300,56.035
717986,3600,59.747
717986,3900,58.42
717986,4200,56.626
717986,4500,55.59
717986,4800,55.32
717986,5100,56.829
717986,5400,58.055
717986,5700,55.855
717986,6000,52.734
717986,6300,56.984
717986,6600,58.227
717986,6900,55.249
717986,7200,57.737
717986,7500,56.999
717986,7800,56.679
717986,8100,53.377
717986,8400,55.663
717986,8700,57.718
717986,9000,55.591
717986,9300,53.229
717986,9600,53.898
717986,9900,55.677
717986,10200,53.272
717986,10500,54.369
717986,10800,54.47
717986,11100,58.184
717986,11400,54.79
717986,11700,52.719
717986,12000,54.904
717986,12300,57.428
717986,12600,50.857
717986,12900,58.036
717986,13200,58.524
717986,13500,56.287
717986,13800,59.02
717986,14100,51.164
717986,14400,53.043
