station,t,veh_5min
716857,0,32
716857,300,162
716857,600,218
716857,900,238
716857,1200,249
716857,1500,231
716857,1800,222
716857,2100,258
716857,2400,277
716857,2700,295
716857,3000,316
716857,3300,353
716857,3600,343
716857,3900,361
716857,4200,392
716857,4500,420
716857,4800,423
716857,5100,442
716857,5400,418
716857,5700,431
716857,6000,387
716857,6300,405
716857,6600,376
716857,6900,412
716857,7200,405
716857,7500,455
716857,7800,442
716857,8100,407
716857,8400,444
716857,8700,416
716857,9000,417
716857,9300,434
716857,9600,414
716857,9900,416
716857,10200,407
716857,10500,436
716857,10800,421
716857,11100,406
716857,11400,419
716857,11700,445
716857,12000,407
716857,12300,435
716857,12600,385
716857,12900,397
716857,13200,402
716857,13500,407
716857,13800,420
716857,14100,400
716857,14400,398
716857,14700,428
716857,15000,363
716857,15300,378
716857,15600,358
716857,15900,388
716857,16200,358
716857,16500,358
716857,16800,353
716857,17100,427
716857,17400,420
716857,17700,401
716857,18000,406
716857,18300,394
716857,18600,429
716857,18900,424
716857,19200,430
716857,19500,437
716857,19800,432
716857,20100,424
716857,20400,400
716857,20700,454
716857,21000,452
716857,21300,452
716857,21600,451
716857,21900,458
716857,22200,462
716857,22500,433
716857,22800,463
716857,23100,432
717980,0,38
717980,300,168
717980,600,221
717980,900,235
717980,1200,243
717980,1500,227
717980,1800,226
717980,2100,263
717980,2400,272
717980,2700,304
717980,3000,316
717980,3300,348
717980,3600,340
717980,3900,364
717980,4200,388
717980,4500,422
717980,4800,427
717980,5100,431
717980,5400,417
717980,5700,434
717980,6000,376
717980,6300,404
717980,6600,381
717980,6900,399
717980,7200,415
717980,7500,459
717980,7800,422
717980,8100,416
717980,8400,441
717980,8700,420
717980,9000,416
717980,9300,427
717980,9600,415
717980,9900,415
717980,10200,411
717980,10500,434
717980,10800,411
717980,11100,411
717980,11400,413
717980,11700,438
717980,12000,417
717980,12300,429
717980,12600,379
717980,12900,401
717980,13200,397
717980,13500,408
717980,13800,414
717980,14100,391
717980,14400,406
717980,14700,423
717980,15000,356
717980,15300,382
717980,15600,362
717980,15900,369
717980,16200,368
717980,16500,348
717980,16800,360
717980,17100,432
717980,17400,413
717980,17700,402
717980,18000,400
717980,18300,394
717980,18600,426
717980,18900,421
717980,19200,426
717980,19500,432
717980,19800,430
717980,20100,426
717980,20400,404
717980,20700,451
717980,21000,451
717980,21300,452
717980,21600,453
717980,21900,462
717980,22200,433
717980,22500,444
717980,22800,452
717980,23100,435
717983,0,240
717983,300,290
717983,600,291
717983,900,344
717983,1200,348
717983,1500,311
717983,1800,309
717983,2100,344
717983,2400,364
717983,2700,360
717983,3000,395
717983,3300,425
717983,3600,461
717983,3900,499
717983,4200,485
717983,4500,467
717983,4800,433
717983,5100,422
717983,5400,439
717983,5700,414
717983,6000,418
717983,6300,414
717983,6600,428
717983,6900,414
717983,7200,396
717983,7500,421
717983,7800,399
717983,8100,407
717983,8400,393
717983,8700,401
717983,9000,406
717983,9300,408
717983,9600,368
717983,9900,408
717983,10200,390
717983,10500,399
717983,10800,398
717983,11100,391
717983,11400,427
717983,11700,400
717983,12000,358
717983,12300,374
717983,12600,358
717983,12900,414
717983,13200,417
717983,13500,398
717983,13800,397
717983,14100,375
717983,14400,369
717983,14700,387
717983,15000,428
717983,15300,428
717983,15600,415
717983,15900,384
717983,16200,352
717983,16500,357
717983,16800,370
717983,17100,417
717983,17400,431
717983,17700,414
717983,18000,421
717983,18300,400
717983,18600,401
717983,18900,417
717983,19200,438
717983,19500,365
717983,19800,278
717983,20100,250
717983,20400,265
717983,20700,316
717983,21000,334
717983,21300,318
717983,21600,279
717983,21900,318
717983,22200,288
717983,22500,314
717983,22800,310
717983,23100,301
717986,0,46
717986,300,163
717986,600,196
717986,900,206
717986,1200,227
717986,1500,196
717986,1800,207
717986,2100,224
717986,2400,226
717986,2700,270
717986,3000,275
717986,3300,289
717986,3600,304
717986,3900,319
717986,4200,335
717986,4500,353
717986,4800,371
717986,5100,381
717986,5400,372
717986,5700,359
717986,6000,341
717986,6300,334
717986,6600,346
717986,6900,354
717986,7200,376
717986,7500,407
717986,7800,352
717986,8100,372
717986,8400,379
717986,8700,376
717986,9000,366
717986,9300,368
717986,9600,382
717986,9900,357
717986,10200,370
717986,10500,368
717986,10800,350
717986,11100,379
717986,11400,343
717986,11700,360
717986,12000,364
717986,12300,336
717986,12600,354
717986,12900,324
717986,13200,353
717986,13500,344
717986,13800,328
717986,14100,332
717986,14400,372
717986,14700,338
717986,15000,324
717986,15300,315
717986,15600,339
717986,15900,312
717986,16200,320
717986,16500,260
717986,16800,371
717986,17100,384
717986,17400,345
717986,17700,361
717986,18000,351
717986,18300,373
717986,18600,372
717986,18900,381
717986,19200,366
717986,19500,371
717986,19800,379
717986,20100,335
717986,20400,396
717986,20700,371
717986,21000,373
717986,21300,375
717986,21600,397
717986,21900,389
717986,22200,373
717986,22500,365
717986,22800,388
717986,23100,377
717989,0,35
717989,300,164
717989,600,195
717989,900,194
717989,1200,226
717989,1500,195
717989,1800,200
717989,2100,215
717989,2400,210
717989,2700,265
717989,3000,268
717989,3300,272
717989,3600,293
717989,3900,317
717989,4200,310
717989,4500,354
717989,4800,359
717989,5100,367
717989,5400,376
717989,5700,342
717989,6000,333
717989,6300,327
717989,6600,340
717989,6900,357
717989,7200,374
717989,7500,374
717989,7800,341
717989,8100,371
717989,8400,373
717989,8700,358
717989,9000,362
717989,9300,342
717989,9600,363
717989,9900,338
717989,10200,349
717989,10500,348
717989,10800,326
717989,11100,371
717989,11400,332
717989,11700,350
717989,12000,357
717989,12300,333
717989,12600,340
717989,12900,321
717989,13200,337
717989,13500,351
717989,13800,325
717989,14100,320
717989,14400,350
717989,14700,335
717989,15000,314
717989,15300,309
717989,15600,329
717989,15900,316
717989,16200,304
717989,16500,254
717989,16800,378
717989,17100,356
717989,17400,326
717989,17700,313
717989,18000,323
717989,18300,354
717989,18600,336
717989,18900,318
717989,19200,328
717989,19500,347
717989,19800,345
717989,20100,309
717989,20400,350
717989,20700,337
717989,21000,334
717989,21300,346
717989,21600,348
717989,21900,356
717989,22200,355
717989,22500,329
717989,22800,350
717989,23100,326
717992,0,157
717992,300,255
717992,600,266
717992,900,309
717992,1200,328
717992,1500,303
717992,1800,295
717992,2100,326
717992,2400,349
717992,2700,332
717992,3000,369
717992,3300,409
717992,3600,412
717992,3900,468
717992,4200,425
717992,4500,439
717992,4800,425
717992,5100,404
717992,5400,458
717992,5700,454
717992,6000,382
717992,6300,436
717992,6600,419
717992,6900,456
717992,7200,390
717992,7500,448
717992,7800,373
717992,8100,440
717992,8400,441
717992,8700,403
717992,9000,403
717992,9300,383
717992,9600,397
717992,9900,449
717992,10200,380
717992,10500,348
717992,10800,448
717992,11100,383
717992,11400,387
717992,11700,435
717992,12000,448
717992,12300,398
717992,12600,437
717992,12900,394
717992,13200,399
717992,13500,428
717992,13800,411
717992,14100,424
717992,14400,432
717992,14700,399
717992,15000,407
717992,15300,429
717992,15600,439
717992,15900,402
717992,16200,393
717992,16500,344
717992,16800,356
717992,17100,361
717992,17400,421
717992,17700,402
717992,18000,399
717992,18300,398
717992,18600,373
717992,18900,371
717992,19200,417
717992,19500,382
717992,19800,274
717992,20100,250
717992,20400,242
717992,20700,276
717992,21000,309
717992,21300,301
717992,21600,277
717992,21900,296
717992,22200,296
717992,22500,286
717992,22800,292
717992,23100,298
717995,0,165
717995,300,264
717995,600,272
717995,900,320
717995,1200,335
717995,1500,308
717995,1800,303
717995,2100,332
717995,2400,364
717995,2700,337
717995,3000,390
717995,3300,403
717995,3600,430
717995,3900,484
717995,4200,436
717995,4500,460
717995,4800,431
717995,5100,439
717995,5400,448
717995,5700,467
717995,6000,401
717995,6300,439
717995,6600,420
717995,6900,458
717995,7200,410
717995,7500,441
717995,7800,402
717995,8100,450
717995,8400,446
717995,8700,433
717995,9000,402
717995,9300,398
717995,9600,408
717995,9900,461
717995,10200,392
717995,10500,371
717995,10800,462
717995,11100,417
717995,11400,414
717995,11700,434
717995,12000,455
717995,12300,419
717995,12600,453
717995,12900,404
717995,13200,417
717995,13500,444
717995,13800,422
717995,14100,433
717995,14400,447
717995,14700,399
717995,15000,404
717995,15300,426
717995,15600,425
717995,15900,404
717995,16200,392
717995,16500,350
717995,16800,346
717995,17100,338
717995,17400,418
717995,17700,391
717995,18000,386
717995,18300,387
717995,18600,380
717995,18900,373
717995,19200,404
717995,19500,378
717995,19800,271
717995,20100,251
717995,20400,264
717995,20700,284
717995,21000,299
717995,21300,321
717995,21600,277
717995,21900,296
717995,22200,281
717995,22500,290
717995,22800,303
717995,23100,300
718002,0,50
718002,300,154
718002,600,185
718002,900,184
718002,1200,209
718002,1500,193
718002,1800,185
718002,2100,199
718002,2400,208
718002,2700,244
718002,3000,257
718002,3300,281
718002,3600,277
718002,3900,300
718002,4200,312
718002,4500,349
718002,4800,338
718002,5100,366
718002,5400,381
718002,5700,320
718002,6000,343
718002,6300,314
718002,6600,353
718002,6900,354
718002,7200,386
718002,7500,353
718002,7800,346
718002,8100,378
718002,8400,372
718002,8700,367
718002,9000,367
718002,9300,360
718002,9600,357
718002,9900,331
718002,10200,378
718002,10500,351
718002,10800,350
718002,11100,353
718002,11400,366
718002,11700,373
718002,12000,349
718002,12300,349
718002,12600,336
718002,12900,335
718002,13200,350
718002,13500,340
718002,13800,333
718002,14100,336
718002,14400,349
718002,14700,339
718002,15000,288
718002,15300,326
718002,15600,340
718002,15900,293
718002,16200,286
718002,16500,261
718002,16800,357
718002,17100,336
718002,17400,334
718002,17700,315
718002,18000,331
718002,18300,361
718002,18600,333
718002,18900,324
718002,19200,335
718002,19500,351
718002,19800,332
718002,20100,296
718002,20400,325
718002,20700,327
718002,21000,328
718002,21300,323
718002,21600,326
718002,21900,354
718002,22200,326
718002,22500,310
718002,22800,322
718002,23100,321
718008,0,117
718008,300,179
718008,600,189
718008,900,210
718008,1200,208
718008,1500,200
718008,1800,201
718008,2100,203
718008,2400,244
718008,2700,248
718008,3000,287
718008,3300,282
718008,3600,295
718008,3900,326
718008,4200,342
718008,4500,363
718008,4800,374
718008,5100,391
718008,5400,354
718008,5700,335
718008,6000,348
718008,6300,350
718008,6600,366
718008,6900,391
718008,7200,363
718008,7500,366
718008,7800,395
718008,8100,393
718008,8400,378
718008,8700,381
718008,9000,377
718008,9300,371
718008,9600,371
718008,9900,381
718008,10200,375
718008,10500,371
718008,10800,380
718008,11100,389
718008,11400,387
718008,11700,368
718008,12000,371
718008,12300,354
718008,12600,346
718008,12900,354
718008,13200,385
718008,13500,343
718008,13800,353
718008,14100,373
718008,14400,367
718008,14700,344
718008,15000,306
718008,15300,349
718008,15600,337
718008,15900,313
718008,16200,252
718008,16500,331
718008,16800,346
718008,17100,345
718008,17400,329
718008,17700,329
718008,18000,348
718008,18300,352
718008,18600,340
718008,18900,334
718008,19200,351
718008,19500,345
718008,19800,312
718008,20100,333
718008,20400,331
718008,20700,327
718008,21000,332
718008,21300,333
718008,21600,346
718008,21900,337
718008,22200,328
718008,22500,340
718008,22800,325
718008,23100,312
718012,0,145
718012,300,189
718012,600,185
718012,900,221
718012,1200,199
718012,1500,204
718012,1800,200
718012,2100,198
718012,2400,238
718012,2700,257
718012,3000,282
718012,3300,273
718012,3600,303
718012,3900,317
718012,4200,343
718012,4500,360
718012,4800,375
718012,5100,390
718012,5400,333
718012,5700,339
718012,6000,337
718012,6300,358
718012,6600,368
718012,6900,397
718012,7200,361
718012,7500,360
718012,7800,395
718012,8100,389
718012,8400,377
718012,8700,392
718012,9000,371
718012,9300,385
718012,9600,353
718012,9900,396
718012,10200,372
718012,10500,359
718012,10800,381
718012,11100,383
718012,11400,390
718012,11700,365
718012,12000,371
718012,12300,349
718012,12600,344
718012,12900,351
718012,13200,375
718012,13500,338
718012,13800,362
718012,14100,387
718012,14400,370
718012,14700,335
718012,15000,306
718012,15300,357
718012,15600,348
718012,15900,306
718012,16200,235
718012,16500,335
718012,16800,329
718012,17100,334
718012,17400,302
718012,17700,335
718012,18000,343
718012,18300,333
718012,18600,322
718012,18900,331
718012,19200,337
718012,19500,324
718012,19800,298
718012,20100,314
718012,20400,330
718012,20700,321
718012,21000,325
718012,21300,311
718012,21600,345
718012,21900,319
718012,22200,307
718012,22500,330
718012,22800,322
718012,23100,296
718147,0,84
718147,300,248
718147,600,239
718147,900,293
718147,1200,294
718147,1500,304
718147,1800,285
718147,2100,276
718147,2400,322
718147,2700,321
718147,3000,340
718147,3300,346
718147,3600,375
718147,3900,375
718147,4200,398
718147,4500,393
718147,4800,400
718147,5100,397
718147,5400,388
718147,5700,383
718147,6000,389
718147,6300,401
718147,6600,380
718147,6900,390
718147,7200,397
718147,7500,387
718147,7800,392
718147,8100,390
718147,8400,388
718147,8700,386
718147,9000,387
718147,9300,380
718147,9600,385
718147,9900,405
718147,10200,392
718147,10500,384
718147,10800,393
718147,11100,396
718147,11400,387
718147,11700,396
718147,12000,387
718147,12300,382
718147,12600,383
718147,12900,391
718147,13200,384
718147,13500,411
718147,13800,390
718147,14100,384
718147,14400,388
718147,14700,399
718147,15000,398
718147,15300,387
718147,15600,385
718147,15900,377
718147,16200,392
718147,16500,369
718147,16800,312
718147,17100,296
718147,17400,326
718147,17700,333
718147,18000,326
718147,18300,329
718147,18600,326
718147,18900,310
718147,19200,320
718147,19500,348
718147,19800,275
718147,20100,201
718147,20400,230
718147,20700,204
718147,21000,241
718147,21300,262
718147,21600,250
718147,21900,199
718147,22200,250
718147,22500,219
718147,22800,244
718147,23100,259
718151,0,245
718151,300,283
718151,600,287
718151,900,332
718151,1200,358
718151,1500,316
718151,1800,294
718151,2100,332
718151,2400,366
718151,2700,352
718151,3000,399
718151,3300,420
718151,3600,445
718151,3900,478
718151,4200,465
718151,4500,444
718151,4800,408
718151,5100,404
718151,5400,416
718151,5700,405
718151,6000,420
718151,6300,415
718151,6600,412
718151,6900,404
718151,7200,398
718151,7500,419
718151,7800,400
718151,8100,414
718151,8400,404
718151,8700,405
718151,9000,408
718151,9300,404
718151,9600,395
718151,9900,418
718151,10200,400
718151,10500,414
718151,10800,409
718151,11100,411
718151,11400,445
718151,11700,388
718151,12000,350
718151,12300,378
718151,12600,361
718151,12900,425
718151,13200,418
718151,13500,402
718151,13800,412
718151,14100,357
718151,14400,375
718151,14700,386
718151,15000,429
718151,15300,425
718151,15600,418
718151,15900,363
718151,16200,372
718151,16500,383
718151,16800,405
718151,17100,438
718151,17400,449
718151,17700,431
718151,18000,442
718151,18300,413
718151,18600,428
718151,18900,437
718151,19200,468
718151,19500,370
718151,19800,305
718151,20100,291
718151,20400,305
718151,20700,334
718151,21000,375
718151,21300,371
718151,21600,305
718151,21900,356
718151,22200,305
718151,22500,353
718151,22800,358
718151,23100,329
718320,0,17
718320,300,222
718320,600,251
718320,900,269
718320,1200,298
718320,1500,324
718320,1800,295
718320,2100,280
718320,2400,299
718320,2700,346
718320,3000,333
718320,3300,351
718320,3600,381
718320,3900,401
718320,4200,403
