run_idx,phase,tag,day,fit_cov,mean_geh,wall_s,params_json
1,explore,x000,2026-06-02,0.2338,11.313,558.2,"{""N.s_entry.4"": 0.3336, ""N.s_entry.5"": 0.4174, ""N.s_entry.6"": 0.5029, ""N.s_entry.7"": 0.2979, ""N.s_entry.8"": 0.3857, ""N.s_entry.9"": 0.3248, ""N.s_entry.10"": 0.4167, ""N.s_or.4"": 0.3811, ""N.s_or.5"": 0.4479, ""N.s_or.6"": 0.3373, ""N.s_or.7"": 0.4664, ""N.s_or.8"": 0.4018, ""N.s_or.9"": 0.3083, ""N.s_or.10"": 0.2645, ""N.m_off.4"": 0.2357, ""N.m_off.5"": 0.3134, ""N.m_off.6"": 0.5154, ""N.m_off.7"": 0.4457, ""N.m_off.8"": 0.4758, ""N.m_off.9"": 0.522, ""N.m_off.10"": 0.4591, ""N.q_dead.None"": 0.0625, ""S.s_entry.4"": 0.4142, ""S.s_entry.5"": 0.5094, ""S.s_entry.6"": 0.2971, ""S.s_entry.7"": 0.3573, ""S.s_entry.8"": 0.4345, ""S.s_entry.9"": 0.3024, ""S.s_entry.10"": 0.297, ""S.s_or.4"": 0.3017, ""S.s_or.5"": 0.3564, ""S.s_or.6"": 0.2404, ""S.s_or.7"": 0.5007, ""S.s_or.8"": 0.3024, ""S.s_or.9"": 0.3228, ""S.s_or.10"": 0.449, ""S.m_off.4"": 0.243, ""S.m_off.5"": 0.4091, ""S.m_off.6"": 0.2617, ""S.m_off.7"": 0.4546, ""S.m_off.8"": 0.3026, ""S.m_off.9"": 0.3758, ""S.m_off.10"": 0.4844, ""S.q_dead.None"": 0.1391}"
2,explore,x000,2026-06-04,0.3333,11.751,507.6,"{""N.s_entry.4"": 0.3336, ""N.s_entry.5"": 0.4174, ""N.s_entry.6"": 0.5029, ""N.s_entry.7"": 0.2979, ""N.s_entry.8"": 0.3857, ""N.s_entry.9"": 0.3248, ""N.s_entry.10"": 0.4167, ""N.s_or.4"": 0.3811, ""N.s_or.5"": 0.4479, ""N.s_or.6"": 0.3373, ""N.s_or.7"": 0.4664, ""N.s_or.8"": 0.4018, ""N.s_or.9"": 0.3083, ""N.s_or.10"": 0.2645, ""N.m_off.4"": 0.2357, ""N.m_off.5"": 0.3134, ""N.m_off.6"": 0.5154, ""N.m_off.7"": 0.4457, ""N.m_off.8"": 0.4758, ""N.m_off.9"": 0.522, ""N.m_off.10"": 0.4591, ""N.q_dead.None"": 0.0625, ""S.s_entry.4"": 0.4142, ""S.s_entry.5"": 0.5094, ""S.s_entry.6"": 0.2971, ""S.s_entry.7"": 0.3573, ""S.s_entry.8"": 0.4345, ""S.s_entry.9"": 0.3024, ""S.s_entry.10"": 0.297, ""S.s_or.4"": 0.3017, ""S.s_or.5"": 0.3564, ""S.s_or.6"": 0.2404, ""S.s_or.7"": 0.5007, ""S.s_or.8"": 0.3024, ""S.s_or.9"": 0.3228, ""S.s_or.10"": 0.449, ""S.m_off.4"": 0.243, ""S.m_off.5"": 0.4091, ""S.m_off.6"": 0.2617, ""S.m_off.7"": 0.4546, ""S.m_off.8"": 0.3026, ""S.m_off.9"": 0.3758, ""S.m_off.10"": 0.4844, ""S.q_dead.None"": 0.1391}"
3,explore,x001,2026-06-02,0.1354,18.801,1085.3,"{""N.s_entry.4"": 0.2264, ""N.s_entry.5"": 0.9188, ""N.s_entry.6"": 0.7782, ""N.s_entry.7"": 0.3794, ""N.s_entry.8"": 0.0342, ""N.s_entry.9"": 0.0183, ""N.s_entry.10"": 0.9382, ""N.s_or.4"": 0.0671, ""N.s_or.5"": 0.256, ""N.s_or.6"": 0.9623, ""N.s_or.7"": 0.8526, ""N.s_or.8"": 0.8809, ""N.s_or.9"": 0.7427, ""N.s_or.10"": 0.7365, ""N.m_off.4"": 0.0248, ""N.m_off.5"": 0.0777, ""N.m_off.6"": 0.2373, ""N.m_off.7"": 0.4966, ""N.m_off.8"": 0.898, ""N.m_off.9"": 0.1883, ""N.m_off.10"": 0.7359, ""N.q_dead.None"": 0.4334, ""S.s_entry.4"": 0.7084, ""S.s_entry.5"": 0.1475, ""S.s_entry.6"": 0.2344, ""S.s_entry.7"": 0.3847, ""S.s_entry.8"": 0.3031, ""S.s_entry.9"": 0.2692, ""S.s_entry.10"": 0.9736, ""S.s_or.4"": 0.2078, ""S.s_or.5"": 0.4726, ""S.s_or.6"": 0.4581, ""S.s_or.7"": 0.3259, ""S.s_or.8"": 0.1322, ""S.s_or.9"": 0.6201, ""S.s_or.10"": 0.314, ""S.m_off.4"": 0.8382, ""S.m_off.5"": 0.6818, ""S.m_off.6"": 0.8217, ""S.m_off.7"": 0.4101, ""S.m_off.8"": 0.1125, ""S.m_off.9"": 0.6026, ""S.m_off.10"": 0.4003, ""S.q_dead.None"": 0.8567}"
4,explore,x001,2026-06-04,0.1667,18.261,1151.2,"{""N.s_entry.4"": 0.2264, ""N.s_entry.5"": 0.9188, ""N.s_entry.6"": 0.7782, ""N.s_entry.7"": 0.3794, ""N.s_entry.8"": 0.0342, ""N.s_entry.9"": 0.0183, ""N.s_entry.10"": 0.9382, ""N.s_or.4"": 0.0671, ""N.s_or.5"": 0.256, ""N.s_or.6"": 0.9623, ""N.s_or.7"": 0.8526, ""N.s_or.8"": 0.8809, ""N.s_or.9"": 0.7427, ""N.s_or.10"": 0.7365, ""N.m_off.4"": 0.0248, ""N.m_off.5"": 0.0777, ""N.m_off.6"": 0.2373, ""N.m_off.7"": 0.4966, ""N.m_off.8"": 0.898, ""N.m_off.9"": 0.1883, ""N.m_off.10"": 0.7359, ""N.q_dead.None"": 0.4334, ""S.s_entry.4"": 0.7084, ""S.s_entry.5"": 0.1475, ""S.s_entry.6"": 0.2344, ""S.s_entry.7"": 0.3847, ""S.s_entry.8"": 0.3031, ""S.s_entry.9"": 0.2692, ""S.s_entry.10"": 0.9736, ""S.s_or.4"": 0.2078, ""S.s_or.5"": 0.4726, ""S.s_or.6"": 0.4581, ""S.s_or.7"": 0.3259, ""S.s_or.8"": 0.1322, ""S.s_or.9"": 0.6201, ""S.s_or.10"": 0.314, ""S.m_off.4"": 0.8382, ""S.m_off.5"": 0.6818, ""S.m_off.6"": 0.8217, ""S.m_off.7"": 0.4101, ""S.m_off.8"": 0.1125, ""S.m_off.9"": 0.6026, ""S.m_off.10"": 0.4003, ""S.q_dead.None"": 0.8567}"
5,explore,x002,2026-06-02,0.1782,12.167,674.9,"{""N.s_entry.4"": 0.5314, ""N.s_entry.5"": 0.2804, ""N.s_entry.6"": 0.2382, ""N.s_entry.7"": 0.3482, ""N.s_entry.8"": 0.3672, ""N.s_entry.9"": 0.3622, ""N.s_entry.10"": 0.4707, ""N.s_or.4"": 0.4928, ""N.s_or.5"": 0.2884, ""N.s_or.6"": 0.4798, ""N.s_or.7"": 0.3864, ""N.s_or.8"": 0.4469, ""N.s_or.9"": 0.3647, ""N.s_or.10"": 0.3172, ""N.m_off.4"": 0.533, ""N.m_off.5"": 0.442, ""N.m_off.6"": 0.3476, ""N.m_off.7"": 0.4338, ""N.m_off.8"": 0.4584, ""N.m_off.9"": 0.342, ""N.m_off.10"": 0.2927, ""N.q_dead.None"": 0.2846, ""S.s_entry.4"": 0.4813, ""S.s_entry.5"": 0.2843, ""S.s_entry.6"": 0.2547, ""S.s_entry.7"": 0.3462, ""S.s_entry.8"": 0.42, ""S.s_entry.9"": 0.4573, ""S.s_entry.10"": 0.2681, ""S.s_or.4"": 0.3786, ""S.s_or.5"": 0.2887, ""S.s_or.6"": 0.4482, ""S.s_or.7"": 0.2412, ""S.s_or.8"": 0.3857, ""S.s_or.9"": 0.4806, ""S.s_or.10"": 0.3832, ""S.m_off.4"": 0.304, ""S.m_off.5"": 0.3351, ""S.m_off.6"": 0.2899, ""S.m_off.7"": 0.3074, ""S.m_off.8"": 0.2922, ""S.m_off.9"": 0.4499, ""S.m_off.10"": 0.2573, ""S.q_dead.None"": 0.1668}"
6,explore,x002,2026-06-04,0.2975,10.945,516.8,"{""N.s_entry.4"": 0.5314, ""N.s_entry.5"": 0.2804, ""N.s_entry.6"": 0.2382, ""N.s_entry.7"": 0.3482, ""N.s_entry.8"": 0.3672, ""N.s_entry.9"": 0.3622, ""N.s_entry.10"": 0.4707, ""N.s_or.4"": 0.4928, ""N.s_or.5"": 0.2884, ""N.s_or.6"": 0.4798, ""N.s_or.7"": 0.3864, ""N.s_or.8"": 0.4469, ""N.s_or.9"": 0.3647, ""N.s_or.10"": 0.3172, ""N.m_off.4"": 0.533, ""N.m_off.5"": 0.442, ""N.m_off.6"": 0.3476, ""N.m_off.7"": 0.4338, ""N.m_off.8"": 0.4584, ""N.m_off.9"": 0.342, ""N.m_off.10"": 0.2927, ""N.q_dead.None"": 0.2846, ""S.s_entry.4"": 0.4813, ""S.s_entry.5"": 0.2843, ""S.s_entry.6"": 0.2547, ""S.s_entry.7"": 0.3462, ""S.s_entry.8"": 0.42, ""S.s_entry.9"": 0.4573, ""S.s_entry.10"": 0.2681, ""S.s_or.4"": 0.3786, ""S.s_or.5"": 0.2887, ""S.s_or.6"": 0.4482, ""S.s_or.7"": 0.2412, ""S.s_or.8"": 0.3857, ""S.s_or.9"": 0.4806, ""S.s_or.10"": 0.3832, ""S.m_off.4"": 0.304, ""S.m_off.5"": 0.3351, ""S.m_off.6"": 0.2899, ""S.m_off.7"": 0.3074, ""S.m_off.8"": 0.2922, ""S.m_off.9"": 0.4499, ""S.m_off.10"": 0.2573, ""S.q_dead.None"": 0.1668}"
7,explore,x004,2026-06-02,0.2581,11.248,571.6,"{""N.s_entry.4"": 0.2658, ""N.s_entry.5"": 0.4105, ""N.s_entry.6"": 0.3282, ""N.s_entry.7"": 0.4981, ""N.s_entry.8"": 0.3495, ""N.s_entry.9"": 0.2489, ""N.s_entry.10"": 0.4719, ""N.s_or.4"": 0.3501, ""N.s_or.5"": 0.2409, ""N.s_or.6"": 0.2953, ""N.s_or.7"": 0.2676, ""N.s_or.8"": 0.3191, ""N.s_or.9"": 0.516, ""N.s_or.10"": 0.3508, ""N.m_off.4"": 0.4217, ""N.m_off.5"": 0.3694, ""N.m_off.6"": 0.3401, ""N.m_off.7"": 0.3481, ""N.m_off.8"": 0.2764, ""N.m_off.9"": 0.4612, ""N.m_off.10"": 0.3085, ""N.q_dead.None"": 0.2181, ""S.s_entry.4"": 0.2766, ""S.s_entry.5"": 0.5191, ""S.s_entry.6"": 0.355, ""S.s_entry.7"": 0.4482, ""S.s_entry.8"": 0.2814, ""S.s_entry.9"": 0.417, ""S.s_entry.10"": 0.3434, ""S.s_or.4"": 0.4212, ""S.s_or.5"": 0.5175, ""S.s_or.6"": 0.4, ""S.s_or.7"": 0.5019, ""S.s_or.8"": 0.3717, ""S.s_or.9"": 0.4398, ""S.s_or.10"": 0.4134, ""S.m_off.4"": 0.2694, ""S.m_off.5"": 0.526, ""S.m_off.6"": 0.2559, ""S.m_off.7"": 0.331, ""S.m_off.8"": 0.3431, ""S.m_off.9"": 0.5175, ""S.m_off.10"": 0.4889, ""S.q_dead.None"": 0.0066}"
8,explore,x004,2026-06-04,0.3669,10.793,529.6,"{""N.s_entry.4"": 0.2658, ""N.s_entry.5"": 0.4105, ""N.s_entry.6"": 0.3282, ""N.s_entry.7"": 0.4981, ""N.s_entry.8"": 0.3495, ""N.s_entry.9"": 0.2489, ""N.s_entry.10"": 0.4719, ""N.s_or.4"": 0.3501, ""N.s_or.5"": 0.2409, ""N.s_or.6"": 0.2953, ""N.s_or.7"": 0.2676, ""N.s_or.8"": 0.3191, ""N.s_or.9"": 0.516, ""N.s_or.10"": 0.3508, ""N.m_off.4"": 0.4217, ""N.m_off.5"": 0.3694, ""N.m_off.6"": 0.3401, ""N.m_off.7"": 0.3481, ""N.m_off.8"": 0.2764, ""N.m_off.9"": 0.4612, ""N.m_off.10"": 0.3085, ""N.q_dead.None"": 0.2181, ""S.s_entry.4"": 0.2766, ""S.s_entry.5"": 0.5191, ""S.s_entry.6"": 0.355, ""S.s_entry.7"": 0.4482, ""S.s_entry.8"": 0.2814, ""S.s_entry.9"": 0.417, ""S.s_entry.10"": 0.3434, ""S.s_or.4"": 0.4212, ""S.s_or.5"": 0.5175, ""S.s_or.6"": 0.4, ""S.s_or.7"": 0.5019, ""S.s_or.8"": 0.3717, ""S.s_or.9"": 0.4398, ""S.s_or.10"": 0.4134, ""S.m_off.4"": 0.2694, ""S.m_off.5"": 0.526, ""S.m_off.6"": 0.2559, ""S.m_off.7"": 0.331, ""S.m_off.8"": 0.3431, ""S.m_off.9"": 0.5175, ""S.m_off.10"": 0.4889, ""S.q_dead.None"": 0.0066}"
9,explore,x003,2026-06-02,0.1447,19.439,1125.6,"{""N.s_entry.4"": 0.8016, ""N.s_entry.5"": 0.9142, ""N.s_entry.6"": 0.0731, ""N.s_entry.7"": 0.9966, ""N.s_entry.8"": 0.4347, ""N.s_entry.9"": 0.1368, ""N.s_entry.10"": 0.8457, ""N.s_or.4"": 0.2923, ""N.s_or.5"": 0.8049, ""N.s_or.6"": 0.6966, ""N.s_or.7"": 0.3772, ""N.s_or.8"": 0.0638, ""N.s_or.9"": 0.8356, ""N.s_or.10"": 0.7867, ""N.m_off.4"": 0.3933, ""N.m_off.5"": 0.5078, ""N.m_off.6"": 0.6652, ""N.m_off.7"": 0.0722, ""N.m_off.8"": 0.0966, ""N.m_off.9"": 0.6624, ""N.m_off.10"": 0.1872, ""N.q_dead.None"": 0.6603, ""S.s_entry.4"": 0.144, ""S.s_entry.5"": 0.0282, ""S.s_entry.6"": 0.0474, ""S.s_entry.7"": 0.2219, ""S.s_entry.8"": 0.5515, ""S.s_entry.9"": 0.0546, ""S.s_entry.10"": 0.0071, ""S.s_or.4"": 0.2556, ""S.s_or.5"": 0.1474, ""S.s_or.6"": 0.7825, ""S.s_or.7"": 0.5038, ""S.s_or.8"": 0.6174, ""S.s_or.9"": 0.0539, ""S.s_or.10"": 0.4444, ""S.m_off.4"": 0.4841, ""S.m_off.5"": 0.4602, ""S.m_off.6"": 0.1263, ""S.m_off.7"": 0.2716, ""S.m_off.8"": 0.548, ""S.m_off.9"": 0.1577, ""S.m_off.10"": 0.2018, ""S.q_dead.None"": 0.8727}"
10,explore,x003,2026-06-04,0.1863,19.547,1296.3,"{""N.s_entry.4"": 0.8016, ""N.s_entry.5"": 0.9142, ""N.s_entry.6"": 0.0731, ""N.s_entry.7"": 0.9966, ""N.s_entry.8"": 0.4347, ""N.s_entry.9"": 0.1368, ""N.s_entry.10"": 0.8457, ""N.s_or.4"": 0.2923, ""N.s_or.5"": 0.8049, ""N.s_or.6"": 0.6966, ""N.s_or.7"": 0.3772, ""N.s_or.8"": 0.0638, ""N.s_or.9"": 0.8356, ""N.s_or.10"": 0.7867, ""N.m_off.4"": 0.3933, ""N.m_off.5"": 0.5078, ""N.m_off.6"": 0.6652, ""N.m_off.7"": 0.0722, ""N.m_off.8"": 0.0966, ""N.m_off.9"": 0.6624, ""N.m_off.10"": 0.1872, ""N.q_dead.None"": 0.6603, ""S.s_entry.4"": 0.144, ""S.s_entry.5"": 0.0282, ""S.s_entry.6"": 0.0474, ""S.s_entry.7"": 0.2219, ""S.s_entry.8"": 0.5515, ""S.s_entry.9"": 0.0546, ""S.s_entry.10"": 0.0071, ""S.s_or.4"": 0.2556, ""S.s_or.5"": 0.1474, ""S.s_or.6"": 0.7825, ""S.s_or.7"": 0.5038, ""S.s_or.8"": 0.6174, ""S.s_or.9"": 0.0539, ""S.s_or.10"": 0.4444, ""S.m_off.4"": 0.4841, ""S.m_off.5"": 0.4602, ""S.m_off.6"": 0.1263, ""S.m_off.7"": 0.2716, ""S.m_off.8"": 0.548, ""S.m_off.9"": 0.1577, ""S.m_off.10"": 0.2018, ""S.q_dead.None"": 0.8727}"
