station,t,veh_5min
716857,0,89
716857,300,259
716857,600,315
716857,900,396
716857,1200,341
716857,1500,410
716857,1800,341
716857,2100,292
716857,2400,313
716857,2700,324
716857,3000,343
716857,3300,364
716857,3600,403
716857,3900,416
716857,4200,425
716857,4500,432
716857,4800,465
716857,5100,467
716857,5400,429
716857,5700,420
716857,6000,448
716857,6300,460
716857,6600,469
716857,6900,462
716857,7200,500
716857,7500,488
716857,7800,477
716857,8100,524
716857,8400,500
716857,8700,488
716857,9000,488
716857,9300,496
716857,9600,491
716857,9900,482
716857,10200,503
716857,10500,488
716857,10800,477
716857,11100,496
716857,11400,483
716857,11700,465
716857,12000,460
716857,12300,482
716857,12600,501
716857,12900,505
716857,13200,506
716857,13500,514
716857,13800,508
716857,14100,506
716857,14400,498
716857,14700,489
716857,15000,485
716857,15300,464
716857,15600,468
716857,15900,428
716857,16200,430
716857,16500,398
716857,16800,405
716857,17100,418
716857,17400,438
716857,17700,441
716857,18000,446
716857,18300,470
716857,18600,451
716857,18900,450
716857,19200,457
716857,19500,450
716857,19800,452
716857,20100,466
716857,20400,439
716857,20700,416
716857,21000,462
716857,21300,450
716857,21600,456
716857,21900,456
716857,22200,466
716857,22500,457
716857,22800,439
716857,23100,433
717980,0,90
717980,300,264
717980,600,314
717980,900,373
717980,1200,344
717980,1500,401
717980,1800,326
717980,2100,283
717980,2400,298
717980,2700,313
717980,3000,335
717980,3300,369
717980,3600,377
717980,3900,411
717980,4200,418
717980,4500,421
717980,4800,458
717980,5100,445
717980,5400,418
717980,5700,411
717980,6000,430
717980,6300,449
717980,6600,454
717980,6900,451
717980,7200,489
717980,7500,476
717980,7800,467
717980,8100,501
717980,8400,480
717980,8700,478
717980,9000,462
717980,9300,486
717980,9600,479
717980,9900,459
717980,10200,487
717980,10500,467
717980,10800,470
717980,11100,485
717980,11400,470
717980,11700,439
717980,12000,468
717980,12300,463
717980,12600,482
717980,12900,494
717980,13200,488
717980,13500,501
717980,13800,490
717980,14100,479
