station,t,mph
716857,0,64.888
716857,300,61.987
716857,600,61.057
716857,900,60.462
716857,1200,60.403
716857,1500,59.833
716857,1800,60.453
716857,2100,60.989
716857,2400,61.655
716857,2700,61.932
716857,3000,60.508
716857,3300,59.78
716857,3600,59.541
716857,3900,60.084
716857,4200,58.97
716857,4500,59.782
716857,4800,59.399
716857,5100,59.795
716857,5400,59.959
716857,5700,59.577
716857,6000,59.72
716857,6300,59.625
716857,6600,59.168
716857,6900,60.047
716857,7200,58.352
716857,7500,58.534
716857,7800,58.093
716857,8100,57.863
716857,8400,58.462
716857,8700,59.526
716857,9000,58.486
716857,9300,57.215
716857,9600,58.019
716857,9900,58.092
716857,10200,58.458
716857,10500,58.237
716857,10800,58.735
716857,11100,58.158
716857,11400,59.109
716857,11700,59.292
716857,12000,59.43
716857,12300,58.46
716857,12600,57.334
716857,12900,58.043
716857,13200,58.094
716857,13500,57.341
716857,13800,58.23
716857,14100,58.206
716857,14400,58.414
716857,14700,59.021
716857,15000,58.285
716857,15300,58.989
716857,15600,59.252
716857,15900,59.846
716857,16200,59.037
716857,16500,60.235
716857,16800,59.869
716857,17100,59.256
716857,17400,59.043
716857,17700,59.169
716857,18000,58.891
716857,18300,59.186
716857,18600,59.792
716857,18900,59.378
716857,19200,59.634
716857,19500,59.293
716857,19800,59.963
716857,20100,59.753
716857,20400,59.135
716857,20700,59.542
716857,21000,58.997
716857,21300,59.362
716857,21600,58.916
716857,21900,59.197
716857,22200,59.613
716857,22500,59.097
716857,22800,59.541
716857,23100,58.899
717980,0,57.455
717980,300,57.612
717980,600,52.027
717980,900,52.469
717980,1200,52.521
717980,1500,51.19
717980,1800,52.723
717980,2100,55.831
717980,2400,56.028
717980,2700,53.689
717980,3000,52.107
717980,3300,48.432
717980,3600,50.347
717980,3900,43.773
717980,4200,43.805
717980,4500,44.526
717980,4800,40.062
717980,5100,40.856
717980,5400,43.177
717980,5700,47.259
717980,6000,42.3
717980,6300,39.41
717980,6600,39.174
717980,6900,40.207
717980,7200,38.548
717980,7500,38.952
717980,7800,37.746
717980,8100,37.446
717980,8400,38.459
717980,8700,37.227
717980,9000,37.082
717980,9300,37.495
717980,9600,37.789
717980,9900,38.838
717980,10200,37.454
717980,10500,38.483
717980,10800,38.006
717980,11100,38.51
717980,11400,39.547
717980,11700,39.542
717980,12000,38.724
717980,12300,36.258
717980,12600,38.699
717980,12900,37.56
717980,13200,37.078
717980,13500,36.927
717980,13800,36.247
717980,14100,38.453
717980,14400,37.203
717980,14700,37.391
717980,15000,39.569
717980,15300,41.033
717980,15600,39.8
717980,15900,47.278
717980,16200,44.001
717980,16500,51.307
717980,16800,45.166
717980,17100,43.977
717980,17400,42.244
717980,17700,41.058
717980,18000,41.002
717980,18300,40.683
717980,18600,40.26
717980,18900,42.081
717980,19200,39.016
717980,19500,43.043
717980,19800,41.45
717980,20100,40.395
717980,20400,42.326
717980,20700,46.885
717980,21000,39.111
717980,21300,41.358
717980,21600,39.976
717980,21900,41.201
717980,22200,39.777
717980,22500,38.753
717980,22800,40.916
717980,23100,44.779
717983,0,57.45
717983,300,57.593
717983,600,55.33
717983,900,46.749
717983,1200,49.247
717983,1500,44.576
717983,1800,47.494
717983,2100,51.017
717983,2400,46.042
717983,2700,43.665
717983,3000,42.63
717983,3300,52.909
717983,3600,52.508
717983,3900,55.542
717983,4200,54.697
717983,4500,53.683
717983,4800,55.606
717983,5100,36.458
717983,5400,30.207
717983,5700,34.494
717983,6000,30.359
717983,6300,42.938
717983,6600,30.936
717983,6900,47.711
717983,7200,39.098
717983,7500,33.53
717983,7800,22.685
717983,8100,31.921
717983,8400,31.608
717983,8700,31.076
717983,9000,26.661
717983,9300,43.065
717983,9600,32.599
717983,9900,30.076
717983,10200,16.943
717983,10500,29.022
717983,10800,29.076
717983,11100,30.377
717983,11400,32.593
717983,11700,43.512
717983,12000,27.35
717983,12300,29.015
