station,t,mph
716857,0,63.936
716857,300,62.961
716857,600,62.056
716857,900,62.244
716857,1200,60.986
716857,1500,61.739
716857,1800,60.899
716857,2100,60.373
716857,2400,61.213
716857,2700,60.262
716857,3000,60.779
716857,3300,61.73
716857,3600,60.555
716857,3900,60.413
716857,4200,60.273
716857,4500,60.77
716857,4800,59.056
716857,5100,59.294
716857,5400,59.836
716857,5700,60.06
716857,6000,60.761
716857,6300,59.866
716857,6600,59.613
716857,6900,60.463
716857,7200,59.866
716857,7500,59.492
716857,7800,59.39
716857,8100,59.255
716857,8400,59.424
716857,8700,59.529
716857,9000,58.043
716857,9300,60.158
716857,9600,59.543
716857,9900,59.532
716857,10200,58.281
716857,10500,59.002
716857,10800,59.032
716857,11100,59.684
716857,11400,58.681
716857,11700,57.698
716857,12000,59.099
716857,12300,58.023
716857,12600,58.79
716857,12900,59.227
716857,13200,59.944
716857,13500,58.798
716857,13800,59.147
716857,14100,59.42
716857,14400,59.878
716857,14700,60.149
716857,15000,59.482
716857,15300,60.189
716857,15600,60.39
716857,15900,60.494
716857,16200,60.154
716857,16500,59.801
716857,16800,59.729
716857,17100,59.796
716857,17400,59.502
716857,17700,59.481
716857,18000,60.421
716857,18300,59.794
716857,18600,60.542
716857,18900,60.174
716857,19200,60.066
716857,19500,60.962
716857,19800,60.509
716857,20100,60.598
716857,20400,60.847
716857,20700,60.452
716857,21000,60.084
716857,21300,60.851
716857,21600,61.023
716857,21900,60.565
716857,22200,60.187
716857,22500,61.212
716857,22800,60.314
716857,23100,61.425
717980,0,57.371
717980,300,60.304
717980,600,54.679
717980,900,56.549
717980,1200,55.955
717980,1500,56.795
717980,1800,54.828
717980,2100,53.62
717980,2400,55.007
717980,2700,51.299
717980,3000,50.915
717980,3300,50.645
717980,3600,51.252
717980,3900,44.574
717980,4200,45.872
717980,4500,40.213
717980,4800,38.39
717980,5100,40.1
717980,5400,44.855
717980,5700,45.991
717980,6000,47.552
717980,6300,43.953
717980,6600,46.339
717980,6900,45.438
717980,7200,39.239
717980,7500,39.46
717980,7800,37.853
717980,8100,37.528
717980,8400,39.04
717980,8700,39.097
717980,9000,37.754
717980,9300,38.192
717980,9600,39.01
717980,9900,38.693
717980,10200,37.504
717980,10500,36.876
717980,10800,38.302
717980,11100,37.516
717980,11400,36.371
717980,11700,37.555
717980,12000,36.849
717980,12300,37.062
717980,12600,40.084
717980,12900,38.598
717980,13200,40.956
717980,13500,37.545
717980,13800,39.659
717980,14100,39.589
717980,14400,38.721
717980,14700,40.665
717980,15000,39.202
717980,15300,45.788
717980,15600,44.007
717980,15900,46.16
717980,16200,44.967
717980,16500,46.969
717980,16800,45.672
717980,17100,42.912
717980,17400,45.199
717980,17700,48.357
717980,18000,45.482
717980,18300,42.877
717980,18600,46.217
717980,18900,48.83
717980,19200,45.798
717980,19500,44.515
717980,19800,48.894
717980,20100,48.101
717980,20400,51.346
717980,20700,47.263
717980,21000,43.753
717980,21300,50.6
717980,21600,50.169
717980,21900,45.787
717980,22200,44.422
717980,22500,51.097
717980,22800,45.08
717980,23100,52.522
717983,0,60.158
717983,300,60.03
717983,600,58.588
717983,900,57.287
717983,1200,57.006
717983,1500,57.142
717983,1800,57.504
717983,2100,60.009
717983,2400,55.046
717983,2700,55.803
717983,3000,48.484
