station,t,veh_5min
716857,0,68
716857,300,195
716857,600,255
716857,900,280
716857,1200,283
716857,1500,298
716857,1800,281
716857,2100,272
716857,2400,303
716857,2700,316
716857,3000,349
716857,3300,390
716857,3600,395
716857,3900,422
716857,4200,409
716857,4500,459
716857,4800,476
716857,5100,458
716857,5400,430
716857,5700,385
716857,6000,415
716857,6300,418
716857,6600,393
716857,6900,404
716857,7200,439
716857,7500,456
716857,7800,458
716857,8100,467
716857,8400,484
716857,8700,467
716857,9000,481
716857,9300,470
716857,9600,461
716857,9900,465
716857,10200,481
716857,10500,478
716857,10800,470
716857,11100,467
716857,11400,476
716857,11700,461
716857,12000,486
716857,12300,502
716857,12600,484
716857,12900,477
716857,13200,440
716857,13500,471
716857,13800,444
716857,14100,431
716857,14400,455
716857,14700,443
716857,15000,423
716857,15300,453
716857,15600,433
716857,15900,402
716857,16200,401
716857,16500,388
716857,16800,403
716857,17100,431
716857,17400,391
716857,17700,411
716857,18000,409
716857,18300,452
716857,18600,431
716857,18900,423
716857,19200,414
716857,19500,404
716857,19800,410
716857,20100,400
716857,20400,388
716857,20700,385
716857,21000,400
716857,21300,390
716857,21600,431
716857,21900,387
716857,22200,398
716857,22500,358
716857,22800,351
716857,23100,367
717980,0,78
717980,300,200
717980,600,269
717980,900,271
717980,1200,282
717980,1500,293
717980,1800,278
717980,2100,270
717980,2400,306
717980,2700,314
717980,3000,358
717980,3300,384
717980,3600,401
717980,3900,419
717980,4200,418
717980,4500,456
717980,4800,475
717980,5100,450
717980,5400,419
717980,5700,390
717980,6000,409
717980,6300,420
717980,6600,386
717980,6900,406
717980,7200,444
717980,7500,445
717980,7800,453
717980,8100,483
717980,8400,481
717980,8700,459
717980,9000,476
717980,9300,461
717980,9600,466
717980,9900,458
717980,10200,491
717980,10500,473
717980,10800,461
717980,11100,470
717980,11400,477
717980,11700,470
717980,12000,479
717980,12300,499
717980,12600,472
717980,12900,475
717980,13200,432
717980,13500,464
717980,13800,439
717980,14100,437
717980,14400,452
717980,14700,441
717980,15000,426
717980,15300,440
717980,15600,433
717980,15900,396
717980,16200,401
717980,16500,390
717980,16800,406
717980,17100,421
717980,17400,388
717980,17700,413
717980,18000,411
717980,18300,459
717980,18600,416
717980,18900,417
717980,19200,417
717980,19500,401
717980,19800,411
717980,20100,394
717980,20400,375
717980,20700,390
717980,21000,405
717980,21300,385
717980,21600,423
717980,21900,387
717980,22200,398
717980,22500,346
717980,22800,360
717980,23100,354
717983,0,297
717983,300,335
717983,600,357
717983,900,399
717983,1200,411
717983,1500,395
717983,1800,401
717983,2100,360
717983,2400,395
717983,2700,428
717983,3000,456
717983,3300,486
717983,3600,489
717983,3900,441
717983,4200,450
717983,4500,435
717983,4800,437
717983,5100,433
717983,5400,429
717983,5700,426
717983,6000,430
717983,6300,423
717983,6600,423
717983,6900,410
717983,7200,419
717983,7500,419
717983,7800,422
717983,8100,330
717983,8400,454
717983,8700,400
717983,9000,374
717983,9300,393
717983,9600,370
717983,9900,392
717983,10200,394
717983,10500,386
717983,10800,378
717983,11100,376
717983,11400,415
717983,11700,413
717983,12000,412
717983,12300,453
717983,12600,376
717983,12900,426
717983,13200,394
717983,13500,392
717983,13800,443
717983,14100,428
717983,14400,395
717983,14700,398
717983,15000,411
717983,15300,411
717983,15600,397
717983,15900,395
717983,16200,401
717983,16500,390
717983,16800,390
717983,17100,399
717983,17400,409
717983,17700,390
717983,18000,393
717983,18300,386
717983,18600,413
717983,18900,399
717983,19200,391
717983,19500,399
717983,19800,406
717983,20100,391
717983,20400,411
717983,20700,405
717983,21000,413
717983,21300,400
717983,21600,407
717983,21900,408
717983,22200,407
717983,22500,386
717983,22800,393
717983,23100,395
717986,0,68
717986,300,192
717986,600,250
717986,900,237
717986,1200,260
717986,1500,265
717986,1800,236
717986,2100,241
717986,2400,256
717986,2700,278
717986,3000,300
717986,3300,309
717986,3600,354
717986,3900,333
717986,4200,375
717986,4500,384
717986,4800,390
717986,5100,353
717986,5400,344
717986,5700,337
717986,6000,347
717986,6300,316
717986,6600,341
717986,6900,368
717986,7200,389
717986,7500,383
717986,7800,398
717986,8100,403
717986,8400,377
717986,8700,424
717986,9000,401
717986,9300,401
717986,9600,393
717986,9900,405
717986,10200,404
717986,10500,386
717986,10800,391
717986,11100,406
717986,11400,394
717986,11700,417
717986,12000,421
717986,12300,412
717986,12600,394
717986,12900,358
717986,13200,417
717986,13500,399
717986,13800,359
717986,14100,395
717986,14400,375
717986,14700,380
717986,15000,396
717986,15300,378
717986,15600,366
717986,15900,337
717986,16200,374
717986,16500,339
717986,16800,383
717986,17100,334
